Latitude,Longitude,PTrain_RFL
23.18,76.97,1.9
27.93,79.28,8.39
17.56,78.22,14.31
10.97,77.28,47.51
17.29,78.03,15.77
27.12,79.41,6.89
10.7,76.75,44.67
17.23,79.13,12.09
23.67,76.23,1.3
24.45,85.17,29.2
18.72,72.9,0.89
12.5,76.3,40.91
26.5,75.67,3.63
21.1,85.33,25.07
21.7,79.68,6.95
22.12,76.9,3.75
30.69,76.09,13.78
26.72,94.23,124.22
25.27,87.22,48.77
13.63,74.7,16.2
20.5,85.83,28.95
19.97,72.72,-0.85
32.53,75.97,58.17
24.05,84.07,21.32
23.83,79.45,3.39
26.17,85.9,43.12
27.05,88.27,92.83
25.67,78.47,4.11
24.2,72.2,1.88
30.32,78.03,16.05
24.92,84.18,25.59
16.38,73.35,5.23
23.78,86.43,37.22
22.6,75.3,2.11
12.13,78.03,40.73
32.27,76.38,36.39
26.67,77.83,5.47
26.02,89.98,75.62
26.15,89.92,75.78
22.18,88.2,55.18
27.48,95.02,143.38
21.83,87.78,49.71
20.72,70.92,-0.4
22.83,74.27,1.24
17.72,83.3,17.9
24.27,87.25,45.19
23.83,73.67,0.97
21.18,81.28,9.06
23.48,87.32,45.86
22.37,69.08,0.77
26.12,92.87,103.74
29.9,78.55,20.59
32.86,74.9,21.76
17.91,78.01,14.38
24.48,71.73,2.57
30.27,80.52,42.44
32.58,74.93,19.69
26.91,79.6,6.7
26.1,90.78,83.53
24.93,92.77,94.76
24.03,84.07,21.31
20.42,72.85,-0.91
26.31,79.3,5.78
30.22,74.17,11.45
34.17,74.9,68.28
32.65,74.9,20.07
24.73,79.21,3.45
26.63,92.8,108.05
34.33,74.38,66.21
24.02,85.55,30.72
28.45,72.5,9.28
25.33,88.32,57.13
30.75,76.15,13.99
27.9,96.3,162.31
28.02,96.23,160.0
25.75,75.38,2.26
18.25,77.1,15.94
25.74,79.16,4.99
23.13,78.68,3.74
27.98,79.42,8.56
26.17,85.0,36.89
29.73,78.47,12.09
23.43,73.75,0.91
20.03,75.03,6.56
33.13,75.98,74.52
29.86,78.64,24.02
26.92,71.37,6.44
30.66,76.83,14.13
24.6,92.83,93.33
33.27,74.55,35.86
17.65,77.47,16.72
30.58,76.82,13.87
25.98,87.13,51.27
24.42,85.98,34.41
28.93,76.17,9.34
33.53,74.22,52.36
29.93,78.74,16.56
24.37,92.17,87.74
26.7,77.9,5.55
29.91,78.7,18.51
25.6,75.61,2.4
21.48,85.82,34.77
33.58,74.09,49.43
26.47,92.47,102.85
19.3,75.67,8.9
22.98,71.47,1.14
22.57,70.42,0.34
23.57,76.78,1.58
32.74,74.81,20.33
24.15,78.23,2.56
28.39,75.63,7.56
28.35,75.64,7.47
16.22,73.83,8.41
27.13,94.77,136.3
26.17,93.57,110.16
17.94,78.68,12.76
20.17,84.85,23.81
27.1,79.95,7.23
26.35,89.9,76.61
27.27,93.07,116.21
32.56,74.92,19.57
24.53,84.92,28.34
12.17,76.6,42.11
15.68,74.97,21.97
34.27,74.47,65.58
34.45,74.41,72.76
34.39,73.79,57.88
21.07,83.2,13.93
18.02,78.9,12.23
34.37,73.98,91.09
23.75,86.17,34.57
16.05,73.92,9.63
23.42,91.67,83.16
29.08,74.68,9.25
28.87,75.45,8.93
25.32,86.02,39.77
25.55,84.15,28.47
23.98,86.02,33.92
22.97,74.12,1.04
24.76,79.05,3.36
23.13,84.85,25.11
20.0,76.3,8.19
27.5,95.75,152.52
16.73,76.92,21.92
