Latitude,Longitude,PTrain_RFL
27.1,79.95,13.51
26.35,89.9,151.04
27.27,93.07,180.25
32.56,74.92,23.95
24.53,84.92,61.13
12.17,76.6,106.76
15.68,74.97,58.21
34.27,74.47,76.43
34.45,74.41,82.83
34.39,73.79,69.11
21.07,83.2,30.78
18.02,78.9,26.43
34.37,73.98,116.05
23.75,86.17,71.95
16.05,73.92,48.37
23.42,91.67,167.65
29.08,74.68,17.1
28.87,75.45,18.34
25.32,86.02,84.48
25.55,84.15,60.12
23.98,86.02,70.5
22.97,74.12,-0.36
24.76,79.05,6.84
23.13,84.85,48.21
20.0,76.3,11.65
27.5,95.75,245.64
16.73,76.92,39.77
21.7,74.03,10.71
26.28,79.29,10.54
25.93,90.77,161.1
27.79,79.31,16.5
29.28,78.12,22.22
25.97,85.12,77.6
28.19,74.69,17.39
26.13,89.47,142.92
10.03,76.3,143.49
11.22,76.15,119.74
13.07,80.26,100.19
17.58,78.54,31.06
13.25,80.33,97.95
13.13,80.25,98.68
8.18,77.63,174.85
26.75,82.08,38.45
25.93,80.83,16.87
30.92,74.67,17.76
26.3,87.27,110.78
22.37,88.78,121.62
16.28,78.68,46.25
30.72,76.77,25.53
26.35,79.23,10.84
25.77,75.63,10.12
24.18,92.02,171.51
11.18,75.85,124.26
17.84,78.12,27.94
15.42,75.63,58.72
27.33,88.62,104.17
16.53,80.8,51.21
24.75,84.95,63.27
25.4,83.55,51.24
22.77,83.97,36.88
27.13,81.97,38.63
21.47,80.2,11.7
19.27,84.88,72.88
26.75,83.37,57.56
17.35,76.85,34.76
34.05,74.4,106.83
24.65,77.32,7.45
28.42,77.0,18.79
26.1,91.58,175.89
26.23,78.25,11.39
15.42,75.62,58.94
27.23,79.28,14.17
33.89,74.29,91.67
24.05,76.45,4.26
25.58,76.3,9.46
15.73,75.98,53.35
16.27,76.83,44.71
23.52,74.0,-1.16
20.1,84.57,55.42
9.92,77.53,133.52
34.16,74.57,75.82
30.65,78.85,82.28
27.85,78.47,16.82
14.55,78.73,61.18
29.9,78.68,49.89
26.01,79.38,9.55
32.79,74.77,23.96
29.97,78.53,41.41
26.7,94.12,216.89
17.61,78.47,30.63
27.72,79.65,16.31
22.77,87.8,106.0
23.28,84.55,44.6
20.88,73.72,4.97
28.3,75.71,18.27
22.9,88.16,110.35
20.13,78.32,12.54
29.85,77.05,22.82
25.22,87.17,100.22
23.95,87.1,89.72
22.7,70.65,0.38
27.22,73.47,14.31
30.72,75.98,22.56
32.98,74.41,29.89
28.36,74.9,17.65
27.7,79.57,16.17
20.67,79.13,10.81
22.25,88.5,118.35
33.26,74.14,48.17
27.32,84.32,76.09
23.27,87.97,105.7
31.52,76.02,25.86
27.98,72.25,16.24
24.9,72.83,4.11
20.72,70.99,6.34
34.08,74.57,71.9
14.97,78.25,55.01
34.1,74.58,71.02
21.92,85.37,57.08
22.02,69.92,4.0
22.26,88.97,125.47
22.86,88.04,109.06
16.75,77.3,38.8
25.73,75.54,9.92
19.92,77.05,13.75
25.93,85.33,80.29
18.17,73.3,22.56
21.33,69.9,5.65
16.72,75.43,41.75
17.21,78.9,31.66
14.83,76.63,63.53
25.96,75.59,10.89
12.84,80.06,100.38
25.6,85.2,75.33
18.98,84.02,60.41
20.37,83.37,35.31
17.63,80.93,33.95
22.55,72.22,-0.5
20.28,84.7,55.7
14.98,74.92,67.25
15.17,77.38,56.24
16.28,76.62,44.53
24.67,84.77,60.48
30.64,76.81,25.12
30.1,79.97,79.11
28.07,94.57,209.84
24.67,75.6,5.73
18.02,79.57,24.87
27.38,80.17,14.96
17.82,73.1,27.75
13.0,76.15,98.9
28.08,96.5,215.45
23.98,85.37,56.97
29.17,75.73,19.2
14.28,74.45,74.16
22.77,77.77,3.61
10.58,92.55,230.04
17.45,78.47,31.56
9.5,76.63,148.67
15.8,76.98,48.07
15.02,75.95,61.01
30.03,77.89,85.26
28.18,75.39,18.01
34.28,74.2,97.37
13.0,75.7,103.35
33.39,74.23,60.23
27.65,79.95,16.14
15.43,75.8,57.6
26.86,79.06,12.79
31.03,78.73,85.55
22.57,75.82,2.49
34.53,75.13,111.97
24.6,87.08,91.32
17.55,75.9,29.82
22.62,86.13,71.44
23.67,84.95,52.04
26.39,79.48,10.76
26.53,75.87,13.46
13.95,76.62,75.99
29.93,78.52,41.35
26.0,92.87,194.14
14.03,75.68,78.46
13.54,77.3,82.3
27.57,93.85,171.78
12.82,77.03,93.06
13.23,77.12,88.19
16.47,76.53,41.93
34.3,74.25,87.2
28.78,95.88,223.66
24.53,84.02,49.94
30.17,76.54,22.58
27.68,76.45,17.76
25.05,84.63,62.38
27.6,78.05,16.07
26.27,91.37,175.26
23.83,73.03,-0.18
24.77,93.9,170.36
22.72,75.8,2.3
17.69,78.87,28.84
27.16,79.27,13.89
29.84,78.75,61.28
24.68,74.13,4.55
27.68,74.07,15.89
11.57,75.6,117.73
11.77,79.38,111.54
27.24,79.44,14.17
34.65,76.02,123.31
30.1,77.75,25.5
20.13,85.15,64.98
24.28,85.17,58.42
27.33,82.7,50.85
23.2,79.95,7.4
19.08,82.03,32.54
26.82,75.8,14.88
26.9,70.92,16.31
21.05,75.57,1.4
25.35,72.62,5.65
26.53,88.72,133.31
32.67,74.83,24.82
22.82,86.18,72.7
22.82,86.18,72.56
22.88,84.13,38.05
25.08,73.08,5.05
18.2,75.2,24.56
24.53,76.17,5.29
25.45,78.58,8.74
21.92,84.08,38.41
26.3,73.02,10.45
30.55,79.57,73.0
33.19,74.15,38.96
14.53,76.35,69.14
22.23,85.65,61.91
25.48,84.42,63.06
25.05,84.08,55.28
26.2,73.94,10.99
28.88,74.07,15.94
26.72,89.88,148.29
21.73,75.15,0.76
22.47,70.07,2.11
26.1,92.73,193.91
26.38,79.19,10.97
24.92,86.22,83.09
17.61,78.88,29.5
25.55,82.32,35.75
23.63,75.13,1.87
28.05,94.18,225.93
30.64,76.05,22.53
30.8,75.82,22.12
29.28,77.42,21.53
33.98,74.27,106.89
28.06,75.28,17.85
25.1,78.8,7.83
33.78,74.07,56.68
26.21,73.07,9.92
33.34,74.21,49.95
32.6,74.87,23.72
24.43,85.52,63.84
23.1,74.15,-0.54
22.17,86.63,83.41
30.03,77.83,25.23
17.74,78.47,29.51
28.33,75.68,18.27
16.33,74.78,49.02
16.43,74.68,47.55
25.38,74.3,7.97
29.8,78.65,39.74
22.52,85.63,60.44
26.13,87.62,114.2
20.78,85.72,65.67
20.82,75.97,4.17
21.85,87.92,111.49
10.95,78.08,113.59
24.32,92.0,171.36
16.95,82.23,63.56
27.07,88.47,107.75
18.33,84.13,69.7
11.73,78.97,106.81
32.4,78.25,97.73
20.27,81.48,20.0
22.67,76.73,2.22
11.83,75.33,113.77
26.43,80.37,11.72
8.08,77.5,177.38
31.33,75.33,21.34
10.92,79.83,132.17
10.07,78.8,138.58
29.7,77.03,22.35
14.78,74.13,66.34
33.0,74.9,48.69
21.62,85.58,62.07
21.32,70.32,4.14
24.98,79.92,6.27
17.25,80.15,33.94
21.83,76.37,1.99
21.82,75.62,0.0
27.9,80.8,24.2
22.08,82.15,21.34
9.95,76.27,145.42
10.23,77.47,163.39
12.95,78.3,92.69
16.7,74.23,46.04
22.53,88.33,115.03
22.65,88.45,115.06
7.22,93.73,278.08
10.75,79.35,126.57
25.15,75.85,7.41
25.18,75.9,7.58
17.55,80.63,33.61
9.53,76.6,148.43
11.25,75.78,123.01
23.4,88.52,112.21
10.4,78.67,129.67
33.58,75.5,47.3
34.42,74.3,79.82
15.83,78.07,44.85
26.85,79.5,12.54
25.22,82.72,39.19
13.24,76.86,87.71
19.28,74.37,19.25
17.87,78.76,27.87
17.22,78.03,34.84
13.55,76.01,87.2
22.5,73.75,-0.27
21.53,73.43,2.26
32.68,74.76,23.3
31.91,75.45,23.8
29.92,77.07,23.1
13.02,80.12,98.18
27.57,79.35,15.56
27.51,79.51,15.3
30.02,79.07,61.65
13.35,77.98,86.24
34.3,73.95,104.5
34.12,74.81,71.36
28.62,72.97,16.17
22.17,85.62,61.52
27.78,79.32,19.8
21.85,72.13,1.44
17.5,74.75,35.98
26.7,89.45,141.03
28.19,75.7,18.21
20.03,77.83,13.39
25.25,94.47,161.7
26.89,79.65,12.66
17.92,82.97,56.07
22.44,88.1,113.86
11.7,75.53,115.55
30.04,73.95,14.7
9.82,77.15,150.19
21.95,85.32,56.06
21.23,78.9,8.51
22.05,78.3,9.38
26.8,75.64,14.54
19.25,73.15,13.03
19.5,83.32,41.22
33.23,74.39,41.52
32.96,74.41,29.74
24.6,84.82,60.38
29.79,78.71,36.01
19.9,86.12,85.04
29.87,78.72,53.83
20.27,85.18,63.75
21.42,79.27,10.42
17.07,78.49,36.55
25.4,79.5,7.53
12.85,74.9,96.32
28.93,74.89,17.45
23.1,71.4,-2.4
23.43,85.32,55.05
12.42,78.38,94.15
11.83,75.67,112.54
23.48,70.47,1.37
