Latitude,Longitude,PTrain_RFL
24.67,75.6,1.41
18.02,79.57,7.9
27.38,80.17,4.45
17.82,73.1,-0.62
13.0,76.15,6.82
28.08,96.5,109.61
23.98,85.37,19.36
29.17,75.73,6.31
14.28,74.45,4.74
22.77,77.77,5.35
10.58,92.55,19.42
17.45,78.47,6.52
9.5,76.63,28.72
15.8,76.98,9.7
15.02,75.95,5.78
30.03,77.89,-0.86
28.18,75.39,3.37
34.28,74.2,110.8
13.0,75.7,7.37
33.39,74.23,73.37
27.65,79.95,4.76
15.43,75.8,4.79
26.86,79.06,2.56
31.03,78.73,61.93
22.57,75.82,2.99
34.53,75.13,165.01
24.6,87.08,22.38
17.55,75.9,6.61
22.62,86.13,21.48
23.67,84.95,16.57
26.39,79.48,2.29
26.53,75.87,0.99
13.95,76.62,6.96
29.93,78.52,34.24
26.0,92.87,40.05
14.03,75.68,5.99
13.54,77.3,7.29
27.57,93.85,93.24
12.82,77.03,7.94
13.23,77.12,6.61
16.47,76.53,7.97
34.3,74.25,103.48
28.78,95.88,102.61
24.53,84.02,9.72
30.17,76.54,12.13
27.68,76.45,3.7
25.05,84.63,10.21
27.6,78.05,3.33
26.27,91.37,33.79
23.83,73.03,2.15
24.77,93.9,59.36
22.72,75.8,2.88
17.69,78.87,6.74
27.16,79.27,3.5
29.84,78.75,46.38
24.68,74.13,0.4
27.68,74.07,1.82
11.57,75.6,15.58
11.77,79.38,16.07
27.24,79.44,3.68
34.65,76.02,214.41
30.1,77.75,14.28
20.13,85.15,15.32
24.28,85.17,15.86
27.33,82.7,7.06
23.2,79.95,7.5
19.08,82.03,9.23
26.82,75.8,1.4
26.9,70.92,1.38
21.05,75.57,5.68
25.35,72.62,2.1
26.53,88.72,22.15
32.67,74.83,31.09
22.82,86.18,21.45
22.82,86.18,21.46
22.88,84.13,17.45
25.08,73.08,1.11
18.2,75.2,4.32
24.53,76.17,2.22
25.45,78.58,3.21
21.92,84.08,13.09
26.3,73.02,1.2
30.55,79.57,66.39
33.19,74.15,49.06
14.53,76.35,5.86
22.23,85.65,20.47
25.48,84.42,8.84
25.05,84.08,8.67
26.2,73.94,0.45
28.88,74.07,4.71
26.72,89.88,29.49
21.73,75.15,3.58
22.47,70.07,-0.46
26.1,92.73,39.2
26.38,79.19,2.51
24.92,86.22,17.08
17.61,78.88,6.67
25.55,82.32,4.79
23.63,75.13,1.89
28.05,94.18,53.55
30.64,76.05,14.5
30.8,75.82,15.19
29.28,77.42,8.59
33.98,74.27,109.95
28.06,75.28,3.1
25.1,78.8,4.11
33.78,74.07,65.39
26.21,73.07,1.35
33.34,74.21,62.87
32.6,74.87,27.74
24.43,85.52,16.71
23.1,74.15,2.54
22.17,86.63,23.6
30.03,77.83,13.59
17.74,78.47,6.71
28.33,75.68,3.81
16.33,74.78,2.89
16.43,74.68,2.81
25.38,74.3,-0.01
29.8,78.65,32.64
22.52,85.63,21.09
26.13,87.62,18.69
20.78,85.72,17.6
20.82,75.97,5.8
21.85,87.92,27.58
10.95,78.08,20.59
24.32,92.0,42.47
16.95,82.23,5.97
27.07,88.47,46.42
18.33,84.13,9.55
11.73,78.97,16.61
32.4,78.25,109.03
20.27,81.48,9.13
22.67,76.73,4.58
11.83,75.33,14.08
26.43,80.37,3.22
8.08,77.5,39.72
31.33,75.33,17.93
10.92,79.83,19.68
10.07,78.8,24.82
29.7,77.03,10.4
14.78,74.13,3.54
33.0,74.9,66.44
21.62,85.58,19.68
21.32,70.32,-0.36
24.98,79.92,4.23
17.25,80.15,7.79
21.83,76.37,5.26
21.82,75.62,4.78
27.9,80.8,6.56
22.08,82.15,9.64
9.95,76.27,25.39
10.23,77.47,24.75
12.95,78.3,7.1
16.7,74.23,1.68
22.53,88.33,30.48
22.65,88.45,30.74
7.22,93.73,42.07
10.75,79.35,21.92
25.15,75.85,1.51
25.18,75.9,1.5
17.55,80.63,7.91
9.53,76.6,28.34
11.25,75.78,17.34
23.4,88.52,30.31
10.4,78.67,22.94
33.58,75.5,69.67
34.42,74.3,99.31
15.83,78.07,8.18
26.85,79.5,3.03
25.22,82.72,5.53
13.24,76.86,6.97
19.28,74.37,1.47
17.87,78.76,6.83
17.22,78.03,6.46
13.55,76.01,6.28
22.5,73.75,2.38
21.53,73.43,1.3
32.68,74.76,27.74
31.91,75.45,22.32
29.92,77.07,11.56
13.02,80.12,10.62
27.57,79.35,4.07
27.51,79.51,3.97
30.02,79.07,50.81
13.35,77.98,6.33
34.3,73.95,112.57
34.12,74.81,100.55
28.62,72.97,3.79
22.17,85.62,20.27
27.78,79.32,4.5
21.85,72.13,0.63
17.5,74.75,2.48
26.7,89.45,27.71
28.19,75.7,3.63
20.03,77.83,8.92
25.25,94.47,85.36
26.89,79.65,3.26
17.92,82.97,8.18
22.44,88.1,30.0
11.7,75.53,14.91
30.04,73.95,9.53
9.82,77.15,17.25
21.95,85.32,20.13
21.23,78.9,8.16
22.05,78.3,9.04
26.8,75.64,1.1
19.25,73.15,0.18
19.5,83.32,10.99
33.23,74.39,52.87
32.96,74.41,33.99
24.6,84.82,12.1
29.79,78.71,29.08
19.9,86.12,16.55
29.87,78.72,43.48
20.27,85.18,15.68
21.42,79.27,9.01
17.07,78.49,5.89
25.4,79.5,3.0
12.85,74.9,9.71
28.93,74.89,4.69
23.1,71.4,2.8
23.43,85.32,19.77
12.42,78.38,11.78
11.83,75.67,14.11
23.48,70.47,0.61
22.42,71.87,1.47
25.13,75.58,1.13
24.54,75.71,1.73
25.7,81.35,3.62
17.28,76.22,7.35
21.78,85.97,21.14
21.32,77.61,7.17
10.92,76.43,20.33
10.47,79.73,22.8
20.23,83.28,11.61
18.15,73.0,-0.9
27.05,79.39,3.44
26.65,79.99,3.08
27.23,79.25,3.56
23.1,74.87,2.36
28.37,76.9,4.82
29.82,78.53,35.25
19.72,76.27,6.44
33.77,74.35,108.09
30.66,76.84,16.47
26.18,92.73,41.15
23.32,91.32,42.03
25.05,75.0,0.8
26.49,79.19,1.97
9.18,76.55,31.06
10.98,78.23,21.67
34.45,74.29,98.06
24.75,78.25,3.87
24.03,79.2,6.35
17.75,77.9,7.57
27.08,79.82,3.7
15.85,77.27,8.81
22.84,88.42,30.73
24.98,78.27,3.58
23.6,74.62,2.46
23.35,77.07,4.15
16.62,73.9,0.82
23.63,85.0,17.35
22.6,81.47,12.52
18.75,73.55,-0.32
26.99,79.64,3.35
24.82,78.76,4.35
33.53,77.5,191.75
24.37,82.95,8.06
25.05,84.05,8.58
25.07,83.95,8.32
16.55,73.62,0.97
29.89,78.66,40.49
24.86,78.86,4.59
29.12,75.52,5.76
25.5,75.85,1.23
23.97,93.22,58.74
23.37,93.12,78.23
29.98,78.62,34.15
24.97,85.1,11.99
22.53,88.32,30.48
26.52,85.97,12.33
26.25,76.33,1.02
28.04,75.65,3.7
25.65,94.03,107.07
33.23,74.63,85.33
20.18,85.62,16.34
28.12,74.76,2.95
25.35,75.53,1.24
18.12,73.0,-1.2
21.18,71.65,-0.15
25.53,86.55,16.45
26.82,70.7,1.86
21.51,77.52,8.33
22.52,79.03,9.77
21.43,78.97,7.97
13.18,80.04,10.45
27.69,79.67,4.59
17.97,78.72,7.04
16.97,78.35,6.1
34.29,74.23,105.48
34.17,74.27,107.42
15.2,76.22,6.69
19.83,83.73,12.03
12.46,80.1,12.21
24.53,75.65,1.72
16.75,77.78,7.3
10.08,78.75,25.04
13.93,78.27,7.73
27.69,79.65,4.59
16.1,78.3,7.38
16.03,79.95,5.82
28.23,95.0,59.06
11.15,75.97,17.91
26.75,94.83,61.98
29.54,77.49,10.06
9.23,76.87,30.76
33.5,74.83,122.41
21.43,74.43,4.1
12.71,76.95,8.81
8.77,78.1,34.48
11.73,75.88,12.08
24.38,84.53,11.93
25.85,85.6,12.0
30.4,77.95,28.37
12.48,76.87,8.99
8.37,77.0,37.66
34.1,74.65,98.4
17.67,82.23,7.01
34.11,74.52,96.32
18.93,77.48,9.38
9.8,76.8,20.34
17.83,73.92,0.62
23.72,85.5,18.29
23.8,81.35,8.48
12.92,74.82,9.35
26.62,89.83,28.66
24.65,79.15,4.74
29.98,78.7,29.82
24.22,84.67,13.63
23.97,87.17,24.56
17.97,78.86,6.99
27.83,79.47,4.72
16.13,76.58,7.24
9.75,76.57,27.15
11.98,75.95,10.78
24.71,79.22,4.69
24.82,85.25,12.96
16.17,76.88,8.35
32.89,74.74,30.31
24.59,79.18,4.83
34.51,76.27,213.11
23.8,80.8,7.67
26.42,87.43,17.45
13.32,77.14,6.51
24.37,87.42,24.48
23.8,86.28,20.53
12.42,92.93,13.06
26.75,80.88,4.32
30.93,75.87,16.18
30.9,75.8,15.95
25.75,93.18,42.55
34.03,74.68,101.58
25.55,76.22,1.29
34.42,74.23,98.18
30.38,77.81,21.2
24.5,87.13,22.88
24.58,78.88,4.89
21.7,84.67,15.24
23.27,92.47,54.09
25.2,93.3,56.92
13.7,75.67,6.33
25.58,93.77,87.2
26.77,84.98,9.44
27.23,94.12,45.01
25.18,86.08,15.56
28.33,73.2,3.08
24.37,87.2,23.5
21.85,87.22,25.26
24.17,88.27,27.74
30.72,76.25,15.35
17.44,78.54,6.61
22.22,70.23,-0.42
24.11,78.98,7.93
25.47,92.8,45.89
25.5,93.12,42.69
27.75,95.92,58.98
27.03,79.39,3.43
21.72,71.38,1.14
18.03,75.33,4.56
21.08,83.4,12.02
26.35,75.57,0.72
25.3,93.43,71.7
32.8,79.18,189.74
27.32,95.9,62.63
26.03,90.17,29.74
21.55,71.35,0.88
17.18,78.71,6.12
16.17,76.52,7.3
34.0,74.92,99.61
20.2,83.7,14.52
23.4,69.88,0.96
22.32,87.05,25.04
22.83,85.12,17.43
17.98,76.33,6.42
26.87,79.11,2.81
12.02,77.25,9.04
25.2,94.47,101.43
25.68,92.8,42.46
20.78,77.67,7.86
24.7,79.02,5.01
22.88,69.82,-0.45
23.83,87.82,27.52
32.52,74.76,26.62
26.28,94.25,65.18
24.55,92.6,42.78
24.87,86.52,18.89
