Latitude,Longitude,PTrain_RFL
26.17,85.9,12.54
27.05,88.27,70.98
25.67,78.47,2.82
24.2,72.2,2.82
30.32,78.03,26.88
24.92,84.18,9.34
16.38,73.35,0.4
23.78,86.43,21.6
22.6,75.3,2.22
12.13,78.03,13.22
32.27,76.38,60.33
26.67,77.83,1.85
26.02,89.98,28.97
26.15,89.92,28.34
22.18,88.2,29.78
27.48,95.02,51.22
21.83,87.78,27.03
20.72,70.92,-1.27
22.83,74.27,2.15
17.72,83.3,7.39
24.27,87.25,24.09
23.83,73.67,1.88
21.18,81.28,8.69
23.48,87.32,26.33
22.37,69.08,-1.19
26.12,92.87,39.84
29.9,78.55,35.06
32.86,74.9,34.23
17.91,78.01,7.67
24.48,71.73,3.42
30.27,80.52,54.88
32.58,74.93,27.99
26.91,79.6,3.24
26.1,90.78,32.06
24.93,92.77,42.08
24.03,84.07,11.0
20.42,72.85,-0.08
26.31,79.3,2.58
30.22,74.17,10.43
34.17,74.9,103.97
32.65,74.9,29.36
24.73,79.21,4.76
26.63,92.8,38.57
34.33,74.38,95.83
24.02,85.55,19.24
28.45,72.5,3.51
25.33,88.32,23.49
30.75,76.15,15.41
27.9,96.3,65.53
28.02,96.23,85.93
25.75,75.38,0.77
18.25,77.1,8.3
25.74,79.16,2.61
23.13,78.68,5.87
27.98,79.42,5.14
26.17,85.0,9.73
29.73,78.47,14.73
23.43,73.75,3.34
20.03,75.03,3.63
33.13,75.98,107.22
29.86,78.64,39.15
26.92,71.37,1.56
30.66,76.83,16.44
24.6,92.83,42.93
33.27,74.55,58.54
17.65,77.47,7.66
30.58,76.82,15.78
25.98,87.13,17.3
24.42,85.98,18.59
28.93,76.17,5.44
33.53,74.22,79.83
29.93,78.74,29.21
24.37,92.17,42.6
26.7,77.9,1.93
29.91,78.7,32.49
25.6,75.61,1.04
21.48,85.82,21.38
33.58,74.09,71.45
26.47,92.47,37.76
19.3,75.67,5.49
22.98,71.47,2.46
22.57,70.42,0.12
23.57,76.78,3.57
32.74,74.81,28.69
24.15,78.23,4.67
28.39,75.63,3.97
28.35,75.64,3.85
16.22,73.83,2.32
27.13,94.77,48.28
26.17,93.57,57.84
17.94,78.68,6.93
20.17,84.85,14.71
27.1,79.95,3.37
26.35,89.9,27.91
27.27,93.07,60.76
32.56,74.92,27.87
24.53,84.92,12.61
12.17,76.6,9.69
15.68,74.97,3.26
34.27,74.47,95.27
34.45,74.41,104.26
34.39,73.79,83.07
21.07,83.2,11.57
18.02,78.9,7.02
34.37,73.98,127.19
23.75,86.17,19.75
16.05,73.92,2.17
23.42,91.67,43.12
29.08,74.68,5.21
28.87,75.45,4.79
25.32,86.02,14.9
25.55,84.15,8.04
23.98,86.02,19.15
22.97,74.12,2.39
24.76,79.05,4.65
23.13,84.85,17.77
20.0,76.3,6.29
27.5,95.75,56.67
16.73,76.92,9.14
21.7,74.03,0.3
26.28,79.29,2.51
25.93,90.77,32.82
27.79,79.31,4.42
29.28,78.12,8.99
25.97,85.12,10.24
28.19,74.69,3.11
26.13,89.47,26.21
10.03,76.3,24.96
11.22,76.15,18.22
13.07,80.26,10.01
17.58,78.54,6.45
13.25,80.33,9.42
13.13,80.25,9.95
8.18,77.63,39.34
