Station name,Latitude,Longitude,Absolute elevation,Distance from Coast
NAJIBABAD,29.62,78.38,270.0,983.49
NALGONDA,17.0,79.25,227.0,181.66
NALIYA,23.25,68.85,21.0,18.43
NANCOWRY,7.98,93.53,26.0,1.08
NANDED,19.08,77.33,358.0,448.57
NANDURBAR,21.33,74.25,206.0,141.98
NANDYAL,15.47,78.48,212.0,172.39
NARNAUL,28.0,76.08,308.0,713.18
NARSAPUR,16.43,81.7,4.0,7.85
NARSINGHPUR,22.95,79.18,356.0,648.31
NELLORE,14.45,79.98,20.0,20.71
NEW DELHI (PALAM) (A),28.57,77.12,233.0,818.09
NEW DELHI (SAFDARJANG),28.58,77.2,216.0,827.02
NEW KANDLA,23.0,70.22,14.0,0.9
NIDADAVOLU,16.92,81.67,13.0,61.64
NIMACH,24.47,74.9,496.0,318.02
NIZAMABAD,18.67,78.1,381.0,402.61
NORTH LAKHIMPUR,27.23,94.12,102.0,565.36
NOWGONG,25.07,79.45,229.0,735.2
OKHA,22.48,69.12,7.0,0.0
ONGOLE,15.57,80.05,12.0,16.9
ORAI,25.98,79.5,141.0,786.1
OSMANABAD,18.17,76.05,663.0,307.21
OZAR,20.13,73.92,608.0,114.52
PACHMARHI,22.47,78.43,1075.0,568.24
PAHALGAM,34.03,75.33,2310.0,1328.77
PALAKKAD,10.77,76.65,97.0,68.56
PALAYAMKOTTAI,8.73,77.75,51.0,40.88
PAMBAN,9.27,78.3,11.0,1.96
PANCHET HILLS,23.62,86.78,119.0,200.19
PANJIM,15.48,73.82,60.0,0.79
PANNA,24.72,80.17,354.0,777.67
PANTNAGAR,29.03,79.47,233.0,998.82
PARADIP PORT,20.3,86.68,8.0,0.05
PARANGIPETTAI (PORT NOVO),11.5,79.77,3.0,0.63
PARBHANI,19.27,76.83,423.0,396.67
PASIGHAT,28.1,95.38,157.0,713.22
PATIALA,30.33,76.47,251.0,964.56
PATNA (A),25.6,85.1,60.0,478.75
PENDRA,22.77,81.9,625.0,498.06
PHALODI,27.13,72.37,234.0,505.38
PHULBANI,20.48,84.27,489.0,145.74
PILANI,28.33,75.58,301.0,726.28
PONDICHERRY,11.92,79.83,6.0,0.05
PORBANDAR (A),21.65,69.67,7.0,5.91
PORT BLAIR,11.67,92.72,79.0,0.06
PUNALUR,9.0,76.92,34.0,27.15
PUNASA,22.23,76.4,267.0,359.0
PUNE,18.53,73.85,559.0,84.04
PUNE (WANORIE),18.5,73.9,594.4,88.21
PURI,19.8,85.82,6.0,1.06
PURNEA,25.77,87.47,38.0,398.14
PURULIA,23.33,86.42,255.0,211.53
PUSAD,19.92,77.58,334.0,483.96
QUAZIGUND,33.58,75.08,1739.0,1275.31
RAICHUR,16.2,77.35,400.0,310.14
RAIGARH,21.88,83.38,220.0,326.26
RAIPUR,21.23,81.65,298.0,408.81
RAISEN,23.32,77.83,440.0,517.95
RAJGARH,24.0,76.72,382.0,434.35
RAJKOT (A),22.3,70.78,138.0,66.19
RAJNANDGAON,21.1,81.03,330.0,432.21
RAMGUNDAM,18.77,79.43,156.0,336.96
RANCHI (A),23.32,85.32,652.0,269.28
RATLAM,23.32,75.05,486.0,248.5
RATNAGIRI,16.98,73.33,67.0,1.58
RAXAUL,26.98,84.85,79.0,618.86
RENTACHINTALA,16.55,79.55,106.0,123.16
REVA,24.53,81.3,299.0,689.6
ROHTAK,28.83,76.58,219.0,817.98
ROORKEE,29.85,77.88,274.0,978.64
SABAUR,25.23,87.07,37.0,348.6
SAGAR,23.85,78.75,551.0,622.83
SAGAR ISLAND,21.75,88.05,3.0,0.0
SALEM,11.65,78.17,278.0,173.37
SAMBALPUR,21.47,83.97,148.0,254.32
SANDHEADS,20.85,88.25,10.0,0.0
SANGLI ,16.85,74.6,549.0,129.2
SATARA,17.7,74.02,660.0,85.7
SATNA,24.57,80.83,317.0,720.54
SAWAI MADHOPUR,25.98,76.37,264.0,542.16
SEONI,22.08,79.55,619.0,622.25
SHAHAJAHANPUR,27.88,79.9,154.5,940.94
SHAJAPUR,23.43,76.32,446.0,372.35
SHEOPUR,25.67,76.68,235.0,538.52
SHILLONG (C.S.O),25.57,91.88,1500.0,314.72
SHIMLA,31.1,77.17,2202.0,1069.41
SHIMOGA,13.93,75.63,571.0,103.75
SHIRALI,14.07,74.53,44.79,3.89
SHIVPURI,25.33,77.65,464.0,590.65
SIDHI,24.42,81.87,272.0,621.34
SIKAR,27.62,75.13,432.0,635.45
SILCHAR,24.82,92.8,29.0,266.62
SILCHAR/KUMBHIGRAM(A),24.92,92.98,97.0,286.19
SIRONCHA,18.85,79.97,123.0,316.09
SOLAPUR,17.67,75.9,479.0,279.01
SRI NIKETAN,23.65,87.7,59.0,162.08
SRIGANGANAGAR (GANGANAGAR),29.92,73.88,177.0,854.9
SRINAGAR,34.08,74.83,1587.0,1276.47
SULTANPUR,26.25,82.0,97.0,736.69
SUNDERNAGAR,31.53,76.9,870.0,1103.37
SUPAUL,26.13,86.58,50.0,458.7
SURAT,21.2,72.83,12.0,5.13
SURI,23.88,87.53,77.0,191.27
TADONG,27.33,88.63,1322.0,548.75
TANGLA,26.65,91.92,78.0,434.64
TANJAVUR,10.78,79.13,68.0,58.71
TEZPUR,26.62,92.78,79.0,449.31
THIKRI,22.07,75.4,172.0,257.11
THIRUVANANTHAPURAM (TRIVANDRUM),8.48,76.95,64.0,3.62
THIRUVANANTHAPURAM (TRIVANDRUM)(A),8.47,76.95,8.0,2.49
TIKAMGARH,24.77,78.83,345.0,664.82
TIRMALAI,13.67,79.38,845.0,91.41
TIRUCHIRAPPALLI,10.77,78.72,88.0,84.52
TIRUPATI (A),13.67,79.58,105.0,70.3
TIRUPPATTUR,12.48,78.57,390.0,150.0
TIRUTTANI,13.15,79.53,105.0,80.63
TITLAGARH,20.3,83.3,211.0,200.57
TONDI,9.73,79.03,5.0,0.0
TONK,26.17,75.75,272.0,520.67
TUMKUR,13.33,77.08,822.0,244.67
TUTICORIN,8.8,78.15,4.0,1.05
TUTICORIN (H.P.),8.75,78.18,3.0,0.14
UDAIPUR,24.58,73.7,582.0,269.39
UDAIPUR (DABOK) (A),24.62,73.88,514.0,279.27
UJJAIN,23.18,75.78,489.0,311.75
ULBERIA,22.5,87.95,5.0,31.64
UMARIA,23.53,80.88,459.0,630.56
UNA,31.47,76.27,369.0,1075.27
UTHAGAMANDALAM  (OOTACAMUND),11.4,76.73,2249.0,99.09
VALLABH VIDYANAGAR,22.57,72.93,44.0,32.06
VARANASI,25.3,83.02,76.0,590.02
VARANASI (BABATPUR),25.45,82.87,85.0,612.47
VEDARANNIYAM,10.37,79.85,4.0,2.11
VELLORE,12.92,79.15,214.0,117.1
VENGURLA,15.87,73.63,9.0,0.55
VERAVAL,20.9,70.37,8.0,0.0
VIDISHA,23.53,77.82,430.0,521.89
VISHAKHAPATNAM  (RS/RW),17.68,83.3,66.0,0.03
VISHAKHAPATNAM (A),17.72,83.23,3.0,6.08
WARANGAL,18.05,79.37,262.0,273.15
WARDHA,20.67,78.58,283.0,562.84
YEOTMAL,20.4,78.15,451.0,564.06
