ABU,atm_pres1,atm_pres2,dry_bulb_temp1,dry_bulb_temp2,Highest_temp,Lowest_temp,Rel_Hum1,Rel_Hum2,All_clouds1,All_ clouds2,Low_clouds1,Low_clouds2,Rainfall,wind_speed
February,1010.5,1006.8,25,30,34.9,19.8,74,64,2,1.9,0.8,0.9,0.2,5.5
March,1009.6,1005.8,27.1,30.8,35.2,21.7,75,66,2.1,2.8,0.8,1.6,13.1,5.8
April,1008.2,1004.6,28.8,31.4,35.5,23,74,66,3.5,4,1.6,2.2,37.4,6.3
May,1006.9,1003.9,23.5,30.7,35.3,22.3,78,71,4.8,5,2,2.3,199.8,5.8
June,1006.4,1004.4,25.8,27.5,32.7,21.8,90,84,6.8,6.8,3.3,3.5,1035.5,4.5
July,1007,1005,25.1,26.8,31.3,21.6,92,86,7,7,3.7,3.7,879.1,4
August,1007.8,1005.5,25,26.8,30.8,21.8,91,85,6.8,6.6,3.5,3.4,553.7,3.9
September,1008.3,1005.5,25.8,27.6,31.6,22.1,87,80,5.4,5.8,2.6,2.8,225.1,4.4
October,1008.8,1005.8,26.1,28.2,32.8,21.7,84,78,4.9,5.7,2.4,3,213.1,4.1
November,1009.6,1006.3,26.1,29,34.1,20.2,75,72,3.9,4.3,1.5,1.9,113.2,4.6
December,1010.8,1007.4,25.2,29.2,34.2,19.4,68,65,2.6,2.9,0.8,1,32.2,5.2
No._of_Years,22,22,22,22,22,22,22,22,22,22,22,22,27,21
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
KANPUR_AERO,atm_pres1,atm_pres2,dry_bulb_temp1,dry_bulb_temp2,Highest_temp,Lowest_temp,Rel_Hum1,Rel_Hum2,All_clouds1,All_ clouds2,Low_clouds1,Low_clouds2,Rainfall,wind_speed
January,1002.7,1000.1,11.1,19.8,26.9,3.5,84,53,2.2,2,0.7,0.5,18.7,
February,1000.4,997.7,14.4,23.5,31.2,5.1,72,41,2,2,0.6,0.6,15.7,
March,997.8,994.4,21,30,38.1,9.4,56,28,1.8,2.1,0.3,0.3,8.3,
April,992.9,989,28.4,36,42.3,16.3,41,22,1.4,1.8,0.4,0.6,7.4,
May,989.3,985.2,31.6,38.4,44.4,20.6,45,26,1.3,1.3,0.4,0.6,19.8,
June,985.2,981.6,31.7,36.4,44.3,23.3,59,44,3.4,3.4,1.5,1.9,99,
July,985.3,982.4,28.8,31,38.9,23.5,82,74,6.1,6,3.6,3.6,300.8,
August,986.6,983.8,28.2,30.3,35.8,23.5,86,78,5.9,5.7,3.8,3.5,233.1,
September,991.3,988.2,27.5,30.3,36.2,21.7,83,71,4.1,4.2,2.3,2.6,188.7,
October,996.9,994,24.5,28.5,36,14.6,75,59,1.5,1.6,0.6,0.8,53.8,
November,1001.2,998.3,18.4,23.6,32.7,8.7,74,56,1,1.1,0.2,0.2,5.1,
December,1003.4,1000.6,12.6,19.8,28.1,4.7,83,58,1.5,1.8,0.3,0.3,9.1,
No._of_Years,20,20,20,20,20,20,20,20,20,20,19,19,16,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
KANYAKUMARI,atm_pres1,atm_pres2,dry_bulb_temp1,dry_bulb_temp2,Highest_temp,Lowest_temp,Rel_Hum1,Rel_Hum2,All_clouds1,All_ clouds2,Low_clouds1,Low_clouds2,Rainfall,wind_speed
January,1009.1,1005.4,25.5,27.9,32.5,21.6,69,66,3.2,3.9,1,1.4,7.5,18.9
February,1008.5,1004.8,26.5,28.4,3.5,21.7,68,68,2.9,3.5,1.1,1.4,17.9,15.2
March,1007.6,1004,28.2,29.7,34.2,23.1,69,69,3.1,3.6,1.2,1.6,25,12.2
April,1005.8,1002.6,29.3,30.3,35,23.8,72,73,4.1,4.8,1.5,2,58,12.5
May,1004.3,1001.6,29.1,29.6,35.1,23.7,74,76,4.7,5.2,1.7,2,51.6,17.6
June,1004.3,1002.1,27.2,28,33.6,22.5,81,77,5.5,5.8,2.5,2.5,82.4,18.4
July,1004.5,1002.2,26.6,27.6,33.5,22.1,80,77,5.4,5.8,2.2,2.3,41.6,19.2
August,1005.2,1002.6,26.5,27.2,33.5,22.2,80,78,5.1,5.5,2.1,2.2,43.1,19
September,1005.9,1002.8,27.2,27.6,33.4,22.6,77,79,4.6,5.3,1.8,2.1,39.8,17.5
October,1006.8,1003.8,27.1,27.7,32.8,22.4,78,79,5,5.6,2.1,2.5,123.7,13.1
November,1007.6,1004.5,26.6,27.8,32.4,22.1,77,75,5.1,5.7,2.3,2.9,170.1,12.3
December,1008.7,1005.5,25.9,27.9,31.9,22,72,68,4.1,4.8,1.7,2.1,61.5,18.5
No._of_Years,30,30,30,30,30,30,30,30,30,30,30,30,25,30
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
KAPURTHALA,atm_pres1,atm_pres2,dry_bulb_temp1,dry_bulb_temp2,Highest_temp,Lowest_temp,Rel_Hum1,Rel_Hum2,All_clouds1,All_ clouds2,Low_clouds1,Low_clouds2,Rainfall,wind_speed
January,,,9,14,22.1,2.1,87,74,,,,,23.6,
February,,,11.6,15.7,25.3,3.3,81,70,,,,,30.8,
March,,,17.1,20.4,30.9,6.2,78,69,,,,,34.4,
April,,,24.3,26.8,39.5,11.4,67,60,,,,,19.8,
May,,,27,30.3,43.6,16.6,64,57,,,,,29.9,
June,,,29.7,33.2,44.6,20.2,66,55,,,,,44.7,
July,,,28.5,30.3,41,20.2,82,76,,,,,174.4,
August,,,27.7,29.3,37.3,20.9,89,83,,,,,184.5,
September,,,26.7,29.3,37.4,18.2,83,73,,,,,97.2,
October,,,22.9,26.6,35.4,12.4,77,67,,,,,9.7,
November,,,15.9,20.8,31.2,6.2,80,66,,,,,6.7,
December,,,10.2,15.7,24.5,2.6,84,69,,,,,11.7,
No._of_Years,,,21,21,21,21,19,19,,,,,23,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
KARAIKAL,atm_pres1,atm_pres2,dry_bulb_temp1,dry_bulb_temp2,Highest_temp,Lowest_temp,Rel_Hum1,Rel_Hum2,All_clouds1,All_ clouds2,Low_clouds1,Low_clouds2,Rainfall,wind_speed
January,1013.7,1010.7,24.3,26.4,29.4,19.5,84,76,4.3,4,2.6,2,53.5,12.3
February,1012.7,1009.6,25.5,27.6,31.1,19.9,82,73,3.6,3,2.4,1.2,42.8,11
March,1011.4,1008,27.5,29.1,33.6,21.4,80,73,3.4,2.4,2.2,0.8,17.2,10.7
April,1009.1,1005.3,29.8,30.7,36.9,23.5,78,76,4.4,3.8,2.5,0.8,17.4,12.7
May,1006.5,1003,30.5,31.9,39.7,24.1,74,73,4.6,4.3,1.7,1,32.3,16.1
June,1005.5,1002.3,29.9,32.3,39,24.3,69,66,5.4,5.8,0.8,1.9,50.2,17.8
July,1006,1002.8,29,31.6,38,23.1,72,67,5.8,6.1,1,2.2,54.2,16.2
August,1006.8,1003.4,28.2,31,36.9,22.8,76,71,5.7,6,1,2.1,82.3,15
September,1008,1004.4,28,30,35.7,22.7,78,76,5.3,5.4,1.3,1.9,101.7,12.5
October,1009.6,1006.4,27.2,28.8,34.1,22.5,84,79,5.6,5.6,2.1,2.1,275.7,9.1
November,1011.1,1008.2,26,27.3,31.6,21.4,86,81,5.6,5.6,2.7,2.5,481.8,10.9
December,1013.1,1010.3,24.8,26.4,29.9,20.2,85,79,5.1,5.1,3,2.6,281,13.3
No._of_Years,28,28,28,28,26,26,28,28,28,28,28,28,22,28
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
KARAIKUDI,atm_pres1,atm_pres2,dry_bulb_temp1,dry_bulb_temp2,Highest_temp,Lowest_temp,Rel_Hum1,Rel_Hum2,All_clouds1,All_ clouds2,Low_clouds1,Low_clouds2,Rainfall,wind_speed
January,1003.8,999.9,24,28.2,32.3,18.4,81,68,2.6,3.4,0.9,1.5,20.6,6.7
February,1002.9,998.8,25.4,30.5,34.9,19.4,81,62,2.6,2.1,1.2,0.7,6.5,6.1
March,1001.4,996.9,27.7,32.5,37.4,21.3,80,60,3.1,2.2,1.8,0.7,15.1,6.1
April,999,994.7,29.9,33.5,39.2,22.7,76,59,3.7,3.8,1.9,1.1,29.2,6.3
May,996.8,993,30.7,33.8,40.5,23.5,71,61,3.8,4.5,1,1.3,35.2,6.9
June,995.8,992.4,30.1,33.6,39.5,23.1,69,60,4.3,5.7,0.6,2.6,55.7,8
July,996.3,992.9,29.1,32.5,38.2,22,69,60,4.6,6.2,0.8,3,104.9,5.7
August,997,993.3,28.7,32,37.9,21.9,72,64,4.7,5.8,0.8,2.6,90.2,5.8
September,998,994,28.2,30.9,37,21.4,76,70,4.2,5.5,0.9,2.4,141.4,5.1
October,999.7,996.2,27.3,29.5,35.6,21.6,82,74,4.9,5.5,1.8,2.1,164,4.5
November,1000.7,997.5,26.1,27.8,33.6,21.2,84,78,4.8,5.5,2.2,2.5,150.7,4.8
December,1003,999.8,24.5,27.1,32.1,19.3,84,76,4,4.8,1.6,2.1,97.6,7.1
No._of_Years,13,13,13,13,13,13,13,13,13,13,13,13,13,13
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
KARNAL,atm_pres1,atm_pres2,dry_bulb_temp1,dry_bulb_temp2,Highest_temp,Lowest_temp,Rel_Hum1,Rel_Hum2,All_clouds1,All_ clouds2,Low_clouds1,Low_clouds2,Rainfall,wind_speed
January,987.9,985.7,11.1,18,23.9,3.6,78,58,,,,,15.4,
February,985.9,983.8,13.8,20.6,27.2,5.2,72,53,,,,,15.9,
March,983.2,980.8,19.1,25.5,33.2,8.6,66,48,,,,,23.9,
April,978.8,976.1,26.5,33.2,39.8,13.7,50,33,,,,,7.1,
May,974.8,972,29.4,36.3,42.7,18.9,49,32,,,,,15,
June,970.8,967.7,30.1,35.8,43.4,20.9,61,44,,,,,48.2,
July,970.5,967.8,28.6,32.1,38.4,21.9,78,66,,,,,165.3,
August,972.5,970,28.3,30.9,36.1,22.1,81,73,,,,,146.2,
September,976.9,974.4,27.4,31.1,35.4,19.5,76,64,,,,,64.3,
October,982.4,979.8,23.6,29.4,34.6,13.6,69,51,,,,,5,
November,986.5,983.9,17.8,24.6,30.6,8.4,70,52,,,,,1.2,
December,988.4,986,12.5,19.7,25.8,4.8,75,55,,,,,12.5,
No._of_Years,26,26,26,26,25,25,26,26,,,,,15,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
KARWAR,atm_pres1,atm_pres2,dry_bulb_temp1,dry_bulb_temp2,Highest_temp,Lowest_temp,Rel_Hum1,Rel_Hum2,All_clouds1,All_ clouds2,Low_clouds1,Low_clouds2,Rainfall,wind_speed
January,1013.7,1010.2,21.7,29,35,15.9,77,61,1.2,1.1,0.2,0.2,0,5.8
February,1012.9,1009.6,22.1,29,35.2,16.6,80,67,0.7,0.6,0.2,0.2,0,7.1
March,1011.8,1008.5,25.4,29.8,34.8,18.8,79,70,1.3,1.4,0.8,0.9,0.1,8.1
April,1010.2,1007,28.4,30.7,34.4,21.8,74,69,2.3,2.4,1.5,1.8,5.1,10
May,1008.8,1006.2,29.4,30.9,34.7,23,75,72,3.7,3.4,2.3,2.2,110.6,11.8
June,1007,1005.4,27.4,28.4,33.3,22.4,86,82,6.3,6,3.8,3.8,950,12.9
July,1007.4,1006,26.6,27.5,31.1,22.4,88,85,6.7,6.6,4.2,4.2,978.7,14.8
August,1008.4,1006.8,26.2,27.2,30.4,22.5,89,85,6.4,6.2,3.9,3.7,667.1,11.1
September,1009.7,1007.3,26.2,27.9,31.3,22.2,88,82,5.1,5.1,2.8,2.7,265.7,7
October,1010.8,1008,26.3,28.9,34.6,21,85,77,3.9,4.1,1.7,2.1,150.2,5.6
November,1012,1008.8,25.5,29.7,35.1,18.1,74,68,2.3,2.4,0.7,0.9,34.5,5
December,1013.7,1010.2,23.8,29.7,34.9,16.4,70,60,1.5,1.6,0.3,0.4,6.1,5.4
No._of_Years,30,30,30,30,30,30,30,30,29,29,29,29,28,23
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
KATRA,atm_pres1,atm_pres2,dry_bulb_temp1,dry_bulb_temp2,Highest_temp,Lowest_temp,Rel_Hum1,Rel_Hum2,All_clouds1,All_ clouds2,Low_clouds1,Low_clouds2,Rainfall,wind_speed
January,963.1,963.1,8.2,12,21.4,2.3,73,70,3.2,3.5,1.3,1.5,101,1.6
February,962.5,961.9,10.4,14.4,24.1,3.2,68,63,3.2,3.9,1.3,1.7,131.6,2
March,960.5,959.8,15.3,19,28.2,6.7,61,55,3.5,4,1.4,1.7,155.7,2.4
April,958.4,957.7,21.8,25.4,34.6,10.1,50,42,2.6,3.1,0.9,1.5,95.7,2.2
May,955.7,954.6,26.6,30.4,39.1,14.3,44,36,2.1,3,0.7,1.6,59.2,2.3
June,952.3,950.4,28,32,40.3,16.9,52,42,2.1,2.9,1.1,1.9,118.6,1.9
July,951.6,950.4,25,27.7,36.1,18.1,82,75,4.8,5,2.9,3.3,630.2,1.6
August,953.7,952.4,24.4,26.6,33.1,17.6,87,83,4.3,4.9,2.9,3.6,648.8,1.4
September,957.7,956.5,23.4,26,32.3,14.6,79,75,2.3,3,1.4,2.3,209,1.2
October,961.8,961,19.7,22.8,31,11.2,65,62,1.3,1.5,0.5,0.8,38.9,1.2
November,964.3,963.5,14.4,17.4,27.3,7.4,66,64,1.4,1.7,0.5,0.6,28.8,1
December,965,964.4,9.9,13.1,23.2,4.1,67,68,2.5,2.6,1,0.9,73.3,1.3
No._of_Years,11,11,18,18,20,20,18,18,18,18,18,18,20,19
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
KEONJHARGARH,atm_pres1,atm_pres2,dry_bulb_temp1,dry_bulb_temp2,Highest_temp,Lowest_temp,Rel_Hum1,Rel_Hum2,All_clouds1,All_ clouds2,Low_clouds1,Low_clouds2,Rainfall,wind_speed
January,961.4,958.7,18,21.5,29.6,8.1,66,56,1.2,1.3,0.9,0.8,11.4,2.5
February,960.5,957.5,20.5,24.4,33,10.4,65,51,1.2,1.5,0.9,1.2,23,3.3
March,958.2,955,25,29.3,37.6,14.5,57,43,1,1.4,0.7,1.1,28.1,3.4
April,955.1,951.8,28.9,32.3,40.5,18.2,54,43,1,1.9,0.6,1.5,43.2,4.1
May,951.8,948.7,29.8,32.1,41.8,20.1,62,54,1.5,3,0.9,2.2,87.2,4.3
June,947.4,945.2,28.2,29.2,39.3,19.4,75,72,3.7,4.4,2.7,3.1,209.4,4.6
July,947.6,945.7,26.5,27.2,33.8,21.1,83,82,5.2,5.6,4.1,4.1,263.9,4.7
August,948.4,946.1,26,26.7,32.8,21.4,87,85,5.2,5.7,4.1,4.4,311.6,4.1
September,952,949.5,26.2,26.5,32.7,20.8,84,84,4.1,5.1,3.2,3.8,227.1,3.7
October,956.8,954.2,25.1,25.8,32.8,16.5,78,77,2.4,3.3,1.8,2.4,101,3.1
November,960.3,957.5,21.6,23.3,30.7,11.8,69,66,1.5,2,1,1.4,29.2,2.6
December,962.1,959.1,18.3,21,28.8,8.8,65,58,0.9,1.1,0.5,0.7,7.3,2.6
No._of_Years,27,27,27,27,29,29,27,27,27,27,27,27,24,21
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
KESHOD (A),atm_pres1,atm_pres2,dry_bulb_temp1,dry_bulb_temp2,Highest_temp,Lowest_temp,Rel_Hum1,Rel_Hum2,All_clouds1,All_ clouds2,Low_clouds1,Low_clouds2,Rainfall,wind_speed
January,1010.2,1006.9,15.1,27.9,33.4,7.2,55,27,1,1,0.1,0.2,1,10.9
February,1009,1005.7,17.5,29.5,36.1,8.5,57,26,0.9,0.9,0.2,0.3,1,11.8
March,1007.2,1003.6,22.1,32.9,40.3,13,60,27,1.2,1,0.3,0.2,0,13.4
April,1004.6,1001.2,26,34,42,17.8,71,35,1.6,1.1,0.9,0.4,0.1,16
May,1001.9,999.1,28.9,33.5,41.6,21.7,73,50,2.8,1.7,2.6,1.4,0.6,19.8
June,997.4,995.1,29.5,31.7,38.3,23.5,76,65,5.1,4.9,4,3.8,202,22.3
July,996.7,995,27.8,29.3,34.2,23.5,85,76,6.4,6.4,4.1,4.5,334.3,22.7
August,998.6,996.8,26.8,28.5,32.6,23.1,88,76,6.3,6.2,4,4.3,157.2,18.8
September,1002.5,1000,26.5,29.7,36,21.4,85,67,3.9,4.1,2.5,3,90,12.9
October,1005.8,1002.6,25.6,32.6,38.5,17.3,72,43,1.7,2.4,0.8,1.5,40.5,10
November,1008.3,1005,22.1,31.4,36.5,12.4,55,30,1.2,1.7,0.3,0.7,19.5,9.6
December,1010.3,1006.9,17.4,28.9,33.6,8.7,54,27,1.3,1.3,0.1,0.2,0.3,10.3
No._of_Years,29,29,29,29,29,27,29,29,29,29,29,29,27,28
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
KHAJURAHO,atm_pres1,atm_pres2,dry_bulb_temp1,dry_bulb_temp2,Highest_temp,Lowest_temp,Rel_Hum1,Rel_Hum2,All_clouds1,All_ clouds2,Low_clouds1,Low_clouds2,Rainfall,wind_speed
January,992.4,989.4,12.3,21.3,29.8,3.7,79,46,2,1.9,0.7,0.7,20.8,2.7
February,990.3,987,15.3,25.1,33.8,5.5,71,36,1.7,1.8,0.6,0.8,19.6,3.3
March,987.6,984,22.3,31.5,39.5,10,51,24,1.5,2,0.5,0.8,8.4,4.2
April,983.5,979.2,30.3,37.5,43.8,16.4,31,17,1.3,2.1,0.4,1.1,5.1,5.4
May,979.4,975.1,34.2,40.4,45.8,22.2,32,19,1.5,2.4,0.5,1.6,10.5,6.6
June,975.5,971.8,32.9,37.1,45.4,23.8,51,40,3.5,4.5,1.6,2.8,99.2,7.6
July,975.4,972.5,28.6,30.9,39,23.4,77,69,6,6.3,3.3,4,326.2,7
August,976.9,974.1,27.5,29.5,35.6,23.2,83,76,6.1,6.1,3.6,3.9,393.5,5.6
September,981.5,978.2,27.2,30.2,36.3,21.2,79,67,4.2,4.6,2.2,2.9,205.8,4.8
October,987.1,983.8,24.9,30.1,36.9,14.1,67,47,1.6,1.9,0.6,2.1,35.5,3.2
November,991.1,987.8,19.1,25.7,33.6,9.2,66,43,1.2,1.3,0.4,0.4,6.5,2.7
December,993.1,990.1,13.6,21.6,29.6,5.1,75,46,1.4,1.5,0.3,0.3,7.8,2.5
No._of_Years,29,29,29,29,29,29,29,29,29,29,29,29,28,28
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
KHAMMAM,atm_pres1,atm_pres2,dry_bulb_temp1,dry_bulb_temp2,Highest_temp,Lowest_temp,Rel_Hum1,Rel_Hum2,All_clouds1,All_ clouds2,Low_clouds1,Low_clouds2,Rainfall,wind_speed
January,1003.9,999.6,22.3,28.5,31.8,14.3,78,48,1.4,0.9,0.6,0.3,4.9,2.2
February,1002,997.7,24.8,31.5,35.4,16.9,75,42,2,0.8,0.9,0.3,7.1,3.1
March,1000.2,995.4,27,34.7,39,19.5,73,35,1.9,0.7,1,0.2,7.1,3.6
April,997.4,992.2,29.6,37.1,41.9,21.9,70,35,2,1.4,0.8,0.4,12.9,4.3
May,993.9,989,32,38.5,44.2,22.5,61,35,2.1,2.2,0.8,0.8,51.5,4.4
June,991.4,987.3,30.3,34.6,42.3,22.8,66,51,3.9,4.3,1.2,1.6,133.2,5.1
July,991.9,988.5,28,31.1,36.9,22.7,78,66,4.7,4.8,1.7,1.8,260.4,4
August,992.7,989.4,27.4,30.3,35.2,22.4,81,70,4.7,4.8,1.7,1.8,241.7,3.5
September,995.3,991.5,27.9,30.2,35.5,22.4,81,70,3.5,4.4,1.2,1.5,170.2,2.1
October,998.6,994.9,27.2,29.6,34.6,19.8,79,65,2.5,3.1,1.2,1.2,119,1.5
November,1001.7,998,24.7,28.4,32.5,16,75,59,1.8,2.2,0.6,0.8,35.2,1.9
December,1004.1,1000.2,22.1,27.5,30.8,13.8,74,51,1.3,1.3,0.4,0.4,1.7,1.7
No._of_Years,30,30,30,30,30,30,30,30,30,30,30,30,30,24
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
KHANDWA,atm_pres1,atm_pres2,dry_bulb_temp1,dry_bulb_temp2,Highest_temp,Lowest_temp,Rel_Hum1,Rel_Hum2,All_clouds1,All_ clouds2,Low_clouds1,Low_clouds2,Rainfall,wind_speed
January,979.9,976,15,27.5,33.1,6.4,61,32,1.3,1.4,0.2,0.6,5.5,3.2
February,978.4,974.2,17.6,30.2,35.7,8.4,50,23,0.9,1.3,0.2,0.7,5,4.2
March,976.4,971.8,23.5,35.2,40.6,12.9,35,18,0.8,1.5,0.1,0.6,5.9,5.2
April,973.5,968.5,29.2,39.1,43.5,18.8,31,15,0.8,1.8,0,1,2.2,7.3
May,970.7,965.7,31.2,40.3,44.7,22.9,43,19,1,2.6,0.1,1.7,9.1,11.3
June,967.4,963,28.8,35.3,43.2,22,66,42,4,4.8,1.7,3,130.7,12.3
July,967,963.8,26.1,29.6,35.8,21.8,81,66,5.7,6,3.1,3.9,257.2,10.7
August,968.4,965.3,25.1,28.2,33.2,21.8,85,72,5.7,6,3.1,3.8,260.8,9.1
September,972,968.3,25.5,30,35.7,20.6,80,61,3.6,4.6,1.5,2.6,148.2,5.9
October,976,972.2,24.3,31.6,36.4,14.7,65,39,1.6,2.5,0.5,1.3,41.9,3
November,979.1,975.4,19.8,29.3,34.6,10.6,58,31,1.1,1.6,0.2,0.7,18.5,2.5
December,980.8,977,15.4,27.1,32.3,6.9,61,32,0.9,1.4,0.2,0.3,7.1,2.4
No._of_Years,30,30,30,30,30,30,30,30,30,30,30,30,27,30
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
KHARGONE,atm_pres1,atm_pres2,dry_bulb_temp1,dry_bulb_temp2,Highest_temp,Lowest_temp,Rel_Hum1,Rel_Hum2,All_clouds1,All_ clouds2,Low_clouds1,Low_clouds2,Rainfall,wind_speed
January,986.9,984,15.7,24,33.5,8.2,64,50,0.9,0.7,0.1,0.2,4.4,2.3
February,985,982,18.2,28.3,36.6,8.5,54,43,1.1,1.3,0.1,0.5,2.7,2.7
March,983.5,981,24,32.7,41,13.3,45,36,1.3,1,0.1,0.2,3.1,3.1
April,980.9,977,29.3,36.3,44.1,19,45,32,1.1,1.3,0.1,0.6,3,4.3
May,977.8,973.8,31,37.9,45.3,23.5,54,33,1,1.2,0.1,0.4,7.3,6.1
June,975,971.2,29.2,34,43.7,22,70,54,2.4,2.4,1.2,1.3,121,7
July,974.2,972.5,26.7,29.9,37.8,22.2,81,69,3.4,3,1.9,1.8,193.8,6.7
August,975,972.5,25.7,28.3,34.7,20.9,85,75,3.5,2.8,1.8,1.6,246.6,5
September,978.7,975.9,26.3,29.8,36.5,20.5,81,68,2.6,2.7,0.9,1,120.6,3.1
October,981.8,978.6,24.8,30.9,37.6,15.3,69,53,1.5,1.6,0.3,0.5,38.8,2.4
November,985.6,981.3,20.5,27.7,35.6,12.4,63,53,1,1.1,0.2,0.3,9.3,2.1
December,987.4,984.7,16,24.5,33.3,7.8,67,53,1.1,1,0.1,0.1,5.2,2.1
No._of_Years,28,28,28,28,29,21,28,28,27,27,27,27,25,24
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
KHERI-LAKHIMPUR,atm_pres1,atm_pres2,dry_bulb_temp1,dry_bulb_temp2,Highest_temp,Lowest_temp,Rel_Hum1,Rel_Hum2,All_clouds1,All_ clouds2,Low_clouds1,Low_clouds2,Rainfall,wind_speed
January,999.8,996.8,11.3,19.6,25.5,5.6,85,56,2.6,2.6,1.1,0.8,18.3,1.7
February,997.4,994.6,14,22.9,29.6,7.3,79,48,2.4,2.7,0.7,0.8,18.8,2.2
March,994.2,991.3,19.1,28.6,35.8,10.9,69,40,2.2,2.6,0.5,0.6,9.4,2.8
April,990.1,986.5,25.9,34.7,41.1,16.4,55,31,1.7,2,0.3,0.5,11.2,3.2
May,987,983,29.1,36.4,42.9,20.3,61,38,1.9,2.2,0.5,0.6,36.6,3.5
June,983.3,979.7,29.7,35.1,42.5,21.7,71,51,4.2,4,1.7,1.3,139.6,2.8
July,983,980.1,28.4,31.6,37.6,23.2,85,73,5.8,5.5,3,2.2,316.9,2.2
August,984.6,981.7,28.1,30.9,35.8,23.5,87,74,5.9,5.7,2.6,2.3,288.1,1.8
September,988.6,985.3,27,30.3,35.4,22.1,86,72,4.4,4.2,1.9,1.9,220.5,1.8
October,994.1,990.8,23.4,29.5,34.4,16.2,83,58,1.4,1.2,0.4,0.5,41,0.9
November,998.1,994.9,17.9,25.6,31.9,10.8,80,52,0.7,0.8,0.2,0.2,2.6,0.6
December,1000.3,997.4,12.8,21.1,27.2,7,83,55,1.6,1.6,0.7,0.4,15.8,0.9
No._of_Years,27,27,27,27,27,27,27,27,27,27,27,27,25,21
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
KHIJRAWAN,atm_pres1,atm_pres2,dry_bulb_temp1,dry_bulb_temp2,Highest_temp,Lowest_temp,Rel_Hum1,Rel_Hum2,All_clouds1,All_ clouds2,Low_clouds1,Low_clouds2,Rainfall,wind_speed
January,,,18.3,24.7,31.1,8.4,70,45,,,,,16.3,3.7
February,,,20.6,27.3,33.8,10.7,65,42,,,,,16.8,4.7
March,,,24.5,31.2,38.5,13.9,57,31,,,,,12.9,5.8
April,,,29.6,35.9,41.5,19.7,45,26,,,,,21.1,7
May,,,31.7,37.1,43.2,21.5,45,27,,,,,30.8,7.6
June,,,28.9,32.1,41.9,21.6,66,55,,,,,221.4,9.2
July,,,25.8,27.1,33.5,21.6,84,80,,,,,329.1,8.2
August,,,25.3,26.3,32,21.8,87,83,,,,,322.2,7.5
September,,,25.9,27.2,33,21.3,84,78,,,,,181,4.7
October,,,24.6,27.4,33.2,15.7,79,66,,,,,63,3.4
November,,,21.3,25.7,31.6,11.1,73,57,,,,,16.8,3
December,,,18.3,23.9,30.4,8.2,71,50,,,,,4.5,3.2
No._of_Years,,,15,15,15,14,14,14,,,,,14,12
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
KOCHI (COCHIN),atm_pres1,atm_pres2,dry_bulb_temp1,dry_bulb_temp2,Highest_temp,Lowest_temp,Rel_Hum1,Rel_Hum2,All_clouds1,All_ clouds2,Low_clouds1,Low_clouds2,Rainfall,wind_speed
January,1012.7,1008.8,24.8,29.3,33.6,20,74,61,2.8,2.5,0.7,0.7,23.3,3.3
February,1012.2,1008.2,26.1,29.7,33.7,21.5,78,64,2.9,2.4,1.2,1,25.9,4
March,1011.4,1007.4,27.9,30.4,34,22.7,77,67,2.9,3.1,1.4,1.9,30.8,4.4
April,1009.9,1006.4,28.8,30.7,34,22.8,77,70,4.5,5.1,2.4,3.5,94.8,4.7
May,1008.9,1006.1,28.3,30.2,33.8,22.7,81,73,5.4,5.6,3.2,3.6,282.8,4.4
June,1009,1006.9,26.1,27.7,32.6,22.2,90,82,6.5,6.6,4.2,4.4,705.8,3.8
July,1009.4,1007.4,25.3,27,31.5,21.8,91,84,6.7,6.7,4.2,4.2,593.6,3.4
August,1010,1007.7,25.6,27.1,31.1,22.2,90,82,6.4,6.5,4.1,4,403.1,3.6
September,1010.4,1007.5,26.4,27.8,31.4,22.4,86,79,5.8,6,3.6,3.6,279.6,3.6
October,1011,1007.9,26.5,28.2,32.1,22.2,85,77,5.4,5.9,2.9,3.7,320.3,3.2
