Latitude,Longitude,PTrain_LC1
33.13,75.98,2.23
29.86,78.64,1.35
26.92,71.37,0.38
30.66,76.83,1.07
24.6,92.83,1.16
33.27,74.55,1.73
17.65,77.47,0.44
30.58,76.82,1.05
25.98,87.13,0.76
24.42,85.98,0.69
28.93,76.17,0.75
33.53,74.22,1.98
29.93,78.74,1.21
24.37,92.17,1.19
26.7,77.9,0.52
29.91,78.7,1.25
25.6,75.61,0.37
21.48,85.82,0.82
33.58,74.09,1.91
26.47,92.47,1.06
19.3,75.67,0.35
22.98,71.47,0.25
22.57,70.42,0.29
23.57,76.78,0.32
32.74,74.81,1.37
24.15,78.23,0.38
28.39,75.63,0.69
28.35,75.64,0.68
16.22,73.83,0.83
27.13,94.77,1.2
26.17,93.57,1.23
17.94,78.68,0.49
20.17,84.85,0.97
27.1,79.95,0.65
26.35,89.9,0.92
27.27,93.07,1.35
32.56,74.92,1.34
24.53,84.92,0.61
12.17,76.6,0.8
15.68,74.97,0.5
34.27,74.47,2.16
34.45,74.41,2.25
34.39,73.79,2.04
21.07,83.2,0.62
18.02,78.9,0.5
34.37,73.98,2.26
23.75,86.17,0.73
16.05,73.92,0.8
23.42,91.67,1.36
29.08,74.68,0.73
28.87,75.45,0.72
25.32,86.02,0.69
25.55,84.15,0.59
23.98,86.02,0.71
22.97,74.12,0.27
24.76,79.05,0.43
23.13,84.85,0.63
20.0,76.3,0.32
27.5,95.75,1.3
16.73,76.92,0.57
21.7,74.03,0.24
26.28,79.29,0.53
25.93,90.77,0.97
27.79,79.31,0.7
29.28,78.12,0.87
25.97,85.12,0.65
28.19,74.69,0.65
26.13,89.47,0.89
10.03,76.3,1.64
11.22,76.15,1.48
13.07,80.26,1.59
17.58,78.54,0.5
13.25,80.33,1.58
13.13,80.25,1.59
8.18,77.63,1.8
26.75,82.08,0.64
25.93,80.83,0.55
30.92,74.67,1.01
26.3,87.27,0.78
22.37,88.78,1.3
16.28,78.68,0.62
30.72,76.77,1.08
26.35,79.23,0.54
25.77,75.63,0.4
24.18,92.02,1.22
11.18,75.85,1.52
17.84,78.12,0.49
15.42,75.63,0.54
27.33,88.62,1.46
16.53,80.8,1.21
24.75,84.95,0.61
25.4,83.55,0.56
22.77,83.97,0.56
27.13,81.97,0.68
21.47,80.2,0.38
19.27,84.88,1.29
26.75,83.37,0.66
17.35,76.85,0.49
34.05,74.4,2.32
24.65,77.32,0.4
28.42,77.0,0.71
26.1,91.58,1.01
26.23,78.25,0.5
15.42,75.62,0.54
27.23,79.28,0.63
33.89,74.29,2.21
