Latitude,Longitude,PTrain_LC1
11.83,76.07,1.33
27.22,93.12,0.98
28.78,96.27,0.94
22.22,78.43,0.28
25.68,94.3,0.85
24.47,86.25,0.52
29.98,77.1,0.65
24.79,79.08,0.3
24.52,84.95,0.51
20.68,86.85,0.66
28.75,73.99,0.53
25.07,75.5,0.41
26.22,87.02,0.67
28.67,96.15,1.14
11.4,79.7,1.83
17.6,78.75,0.6
21.52,73.65,-0.07
16.45,74.33,0.29
25.17,82.53,0.44
15.58,79.88,1.08
26.63,94.92,0.82
19.07,79.07,0.41
22.12,77.5,0.26
24.05,86.15,0.48
23.18,76.97,0.29
27.93,79.28,0.5
17.56,78.22,0.57
10.97,77.28,1.58
17.29,78.03,0.62
27.12,79.41,0.43
10.7,76.75,1.54
17.23,79.13,0.68
23.67,76.23,0.3
24.45,85.17,0.51
18.72,72.9,-0.01
12.5,76.3,1.34
26.5,75.67,0.5
21.1,85.33,0.53
21.7,79.68,0.21
22.12,76.9,0.24
30.69,76.09,0.66
26.72,94.23,0.73
25.27,87.22,0.59
13.63,74.7,0.85
20.5,85.83,0.65
19.97,72.72,-0.05
32.53,75.97,0.84
24.05,84.07,0.47
23.83,79.45,0.22
26.17,85.9,0.65
27.05,88.27,0.82
25.67,78.47,0.37
24.2,72.2,0.2
30.32,78.03,0.73
24.92,84.18,0.51
16.38,73.35,0.29
23.78,86.43,0.47
22.6,75.3,0.15
12.13,78.03,1.48
32.27,76.38,0.81
26.67,77.83,0.44
26.02,89.98,0.64
26.15,89.92,0.66
22.18,88.2,0.53
27.48,95.02,0.87
21.83,87.78,0.56
20.72,70.92,-0.2
22.83,74.27,0.06
17.72,83.3,0.86
24.27,87.25,0.5
23.83,73.67,0.16
21.18,81.28,0.36
23.48,87.32,0.49
22.37,69.08,-0.27
26.12,92.87,0.63
29.9,78.55,0.69
32.86,74.9,0.8
17.91,78.01,0.5
24.48,71.73,0.24
30.27,80.52,1.08
32.58,74.93,0.77
26.91,79.6,0.41
26.1,90.78,0.65
24.93,92.77,0.53
24.03,84.07,0.47
20.42,72.85,-0.05
26.31,79.3,0.37
30.22,74.17,0.55
34.17,74.9,1.03
32.65,74.9,0.77
24.73,79.21,0.29
26.63,92.8,0.7
34.33,74.38,1.0
24.02,85.55,0.5
28.45,72.5,0.52
25.33,88.32,0.59
30.75,76.15,0.67
27.9,96.3,1.01
28.02,96.23,1.13
25.75,75.38,0.46
18.25,77.1,0.4
25.74,79.16,0.33
23.13,78.68,0.22
27.98,79.42,0.51
26.17,85.0,0.62
29.73,78.47,0.67
23.43,73.75,0.16
20.03,75.03,0.14
33.13,75.98,1.04
29.86,78.64,0.67
26.92,71.37,0.51
30.66,76.83,0.69
24.6,92.83,0.51
33.27,74.55,0.84
17.65,77.47,0.51
30.58,76.82,0.69
25.98,87.13,0.64
24.42,85.98,0.51
28.93,76.17,0.57
33.53,74.22,0.87
29.93,78.74,0.71
24.37,92.17,0.51
26.7,77.9,0.44
29.91,78.7,0.7
25.6,75.61,0.45
21.48,85.82,0.39
33.58,74.09,0.87
26.47,92.47,0.68
19.3,75.67,0.25
22.98,71.47,0.01
22.57,70.42,-0.16
23.57,76.78,0.31
32.74,74.81,0.77
24.15,78.23,0.31
28.39,75.63,0.57
28.35,75.64,0.57
16.22,73.83,0.37
27.13,94.77,0.79
26.17,93.57,0.76
17.94,78.68,0.56
20.17,84.85,0.57
27.1,79.95,0.42
26.35,89.9,0.68
27.27,93.07,0.97
32.56,74.92,0.76
24.53,84.92,0.51
12.17,76.6,1.42
15.68,74.97,0.52
34.27,74.47,0.99
34.45,74.41,1.04
34.39,73.79,0.95
21.07,83.2,0.47
18.02,78.9,0.56
34.37,73.98,1.71
23.75,86.17,0.48
16.05,73.92,0.36
23.42,91.67,0.49
29.08,74.68,0.54
28.87,75.45,0.56
25.32,86.02,0.58
25.55,84.15,0.54
23.98,86.02,0.48
22.97,74.12,0.07
24.76,79.05,0.3
23.13,84.85,0.45
20.0,76.3,0.25
27.5,95.75,0.89
16.73,76.92,0.55
21.7,74.03,-0.15
26.28,79.29,0.37
25.93,90.77,0.63
27.79,79.31,0.49
29.28,78.12,0.61
25.97,85.12,0.61
28.19,74.69,0.56
26.13,89.47,0.66
10.03,76.3,1.55
11.22,76.15,1.39
13.07,80.26,1.6
17.58,78.54,0.61
13.25,80.33,1.58
13.13,80.25,1.59
8.18,77.63,1.9
26.75,82.08,0.52
25.93,80.83,0.36
30.92,74.67,0.6
26.3,87.27,0.68
22.37,88.78,0.54
16.28,78.68,0.81
30.72,76.77,0.7
26.35,79.23,0.37
25.77,75.63,0.46
24.18,92.02,0.51
11.18,75.85,1.34
17.84,78.12,0.52
15.42,75.63,0.68
27.33,88.62,0.94
16.53,80.8,1.01
24.75,84.95,0.53
25.4,83.55,0.51
22.77,83.97,0.45
27.13,81.97,0.54
21.47,80.2,0.26
19.27,84.88,0.77
26.75,83.37,0.6
17.35,76.85,0.47
34.05,74.4,1.26
24.65,77.32,0.38
28.42,77.0,0.55
26.1,91.58,0.64
26.23,78.25,0.41
15.42,75.62,0.68
27.23,79.28,0.44
33.89,74.29,0.99
24.05,76.45,0.34
25.58,76.3,0.43
15.73,75.98,0.7
16.27,76.83,0.63
23.52,74.0,0.19
20.1,84.57,0.62
9.92,77.53,1.77
34.16,74.57,0.98
30.65,78.85,0.57
27.85,78.47,0.5
14.55,78.73,1.15
29.9,78.68,0.66
26.01,79.38,0.34
32.79,74.77,0.78
29.97,78.53,0.7
26.7,94.12,0.72
17.61,78.47,0.6
27.72,79.65,0.48
22.77,87.8,0.51
23.28,84.55,0.47
20.88,73.72,-0.08
28.3,75.71,0.57
22.9,88.16,0.51
20.13,78.32,0.2
29.85,77.05,0.64
25.22,87.17,0.58
23.95,87.1,0.49
22.7,70.65,-0.13
27.22,73.47,0.53
30.72,75.98,0.66
32.98,74.41,0.79
28.36,74.9,0.56
27.7,79.57,0.48
20.67,79.13,0.22
22.25,88.5,0.54
33.26,74.14,0.83
27.32,84.32,0.71
23.27,87.97,0.5
31.52,76.02,0.73
27.98,72.25,0.52
24.9,72.83,0.31
20.72,70.99,-0.18
34.08,74.57,0.99
14.97,78.25,1.0
34.1,74.58,0.99
21.92,85.37,0.4
22.02,69.92,-0.26
22.26,88.97,0.55
22.86,88.04,0.51
16.75,77.3,0.59
25.73,75.54,0.46
19.92,77.05,0.26
25.93,85.33,0.61
18.17,73.3,0.13
21.33,69.9,-0.27
16.72,75.43,0.49
17.21,78.9,0.67
14.83,76.63,0.91
25.96,75.59,0.47
12.84,80.06,1.62
25.6,85.2,0.58
18.98,84.02,0.61
20.37,83.37,0.54
17.63,80.93,0.83
22.55,72.22,-0.04
20.28,84.7,0.55
14.98,74.92,0.56
15.17,77.38,0.85
16.28,76.62,0.63
24.67,84.77,0.52
30.64,76.81,0.69
30.1,79.97,0.57
28.07,94.57,1.13
24.67,75.6,0.38
18.02,79.57,0.6
27.38,80.17,0.45
17.82,73.1,0.12
13.0,76.15,1.36
28.08,96.5,1.11
23.98,85.37,0.51
29.17,75.73,0.57
14.28,74.45,0.71
22.77,77.77,0.25
10.58,92.55,3.26
17.45,78.47,0.61
9.5,76.63,1.66
15.8,76.98,0.7
15.02,75.95,0.77
30.03,77.89,1.24
28.18,75.39,0.57
34.28,74.2,1.1
13.0,75.7,1.23
33.39,74.23,0.85
27.65,79.95,0.48
15.43,75.8,0.71
26.86,79.06,0.41
31.03,78.73,0.76
22.57,75.82,0.21
34.53,75.13,1.85
24.6,87.08,0.52
17.55,75.9,0.42
22.62,86.13,0.44
23.67,84.95,0.47
26.39,79.48,0.37
26.53,75.87,0.51
13.95,76.62,1.07
29.93,78.52,0.7
26.0,92.87,0.62
14.03,75.68,0.87
13.54,77.3,1.26
27.57,93.85,1.05
12.82,77.03,1.39
13.23,77.12,1.39
16.47,76.53,0.59
34.3,74.25,1.03
28.78,95.88,1.23
24.53,84.02,0.49
30.17,76.54,0.64
27.68,76.45,0.56
25.05,84.63,0.53
27.6,78.05,0.49
26.27,91.37,0.66
23.83,73.03,0.14
24.77,93.9,0.58
22.72,75.8,0.22
17.69,78.87,0.6
27.16,79.27,0.44
29.84,78.75,0.58
24.68,74.13,0.31
27.68,74.07,0.55
11.57,75.6,1.27
11.77,79.38,1.73
27.24,79.44,0.44
34.65,76.02,2.67
30.1,77.75,0.68
20.13,85.15,0.64
24.28,85.17,0.51
27.33,82.7,0.61
23.2,79.95,0.21
19.08,82.03,0.57
26.82,75.8,0.54
26.9,70.92,0.51
21.05,75.57,0.21
25.35,72.62,0.37
26.53,88.72,0.71
32.67,74.83,0.78
22.82,86.18,0.47
22.82,86.18,0.46
22.88,84.13,0.49
25.08,73.08,0.34
18.2,75.2,0.28
24.53,76.17,0.37
25.45,78.58,0.35
21.92,84.08,0.45
26.3,73.02,0.46
30.55,79.57,0.66
33.19,74.15,0.82
14.53,76.35,0.95
22.23,85.65,0.4
25.48,84.42,0.55
25.05,84.08,0.51
26.2,73.94,0.48
28.88,74.07,0.53
26.72,89.88,0.76
21.73,75.15,0.14
22.47,70.07,-0.2
26.1,92.73,0.63
26.38,79.19,0.38
24.92,86.22,0.56
17.61,78.88,0.61
25.55,82.32,0.45
23.63,75.13,0.23
28.05,94.18,1.02
30.64,76.05,0.65
30.8,75.82,0.65
29.28,77.42,0.6
33.98,74.27,1.23
28.06,75.28,0.57
25.1,78.8,0.33
33.78,74.07,0.89
26.21,73.07,0.46
33.34,74.21,0.84
32.6,74.87,0.76
24.43,85.52,0.52
23.1,74.15,0.1
22.17,86.63,0.47
30.03,77.83,0.67
17.74,78.47,0.58
28.33,75.68,0.57
16.33,74.78,0.41
16.43,74.68,0.38
25.38,74.3,0.42
29.8,78.65,0.69
22.52,85.63,0.4
26.13,87.62,0.66
20.78,85.72,0.61
20.82,75.97,0.22
