Latitude,Longitude,PTrain_LC1
25.27,87.22,0.66
13.63,74.7,0.73
20.5,85.83,0.61
19.97,72.72,0.08
32.53,75.97,1.82
24.05,84.07,0.67
23.83,79.45,0.68
26.17,85.9,0.8
27.05,88.27,0.85
25.67,78.47,0.74
24.2,72.2,0.23
30.32,78.03,1.28
24.92,84.18,0.72
16.38,73.35,0.31
23.78,86.43,0.59
22.6,75.3,0.27
12.13,78.03,1.15
32.27,76.38,1.66
26.67,77.83,0.78
26.02,89.98,0.75
26.15,89.92,0.77
22.18,88.2,0.59
27.48,95.02,1.18
21.83,87.78,0.59
20.72,70.92,-0.01
22.83,74.27,0.17
17.72,83.3,0.77
24.27,87.25,0.6
23.83,73.67,0.23
21.18,81.28,0.55
23.48,87.32,0.54
22.37,69.08,-0.03
26.12,92.87,0.84
29.9,78.55,1.26
32.86,74.9,1.54
17.91,78.01,0.49
24.48,71.73,0.24
30.27,80.52,1.55
32.58,74.93,1.44
26.91,79.6,0.91
26.1,90.78,0.77
24.93,92.77,0.7
24.03,84.07,0.66
20.42,72.85,0.07
26.31,79.3,0.83
30.22,74.17,0.99
34.17,74.9,2.24
32.65,74.9,1.47
24.73,79.21,0.72
26.63,92.8,0.89
34.33,74.38,2.07
24.02,85.55,0.69
28.45,72.5,0.77
25.33,88.32,0.69
30.75,76.15,1.16
27.9,96.3,1.38
28.02,96.23,1.47
25.75,75.38,0.6
18.25,77.1,0.47
25.74,79.16,0.78
23.13,78.68,0.59
27.98,79.42,1.01
26.17,85.0,0.82
29.73,78.47,1.18
23.43,73.75,0.19
20.03,75.03,0.21
33.13,75.98,2.14
29.86,78.64,1.26
26.92,71.37,0.59
30.66,76.83,1.2
24.6,92.83,0.69
33.27,74.55,1.69
17.65,77.47,0.5
30.58,76.82,1.18
25.98,87.13,0.76
24.42,85.98,0.67
28.93,76.17,0.93
33.53,74.22,1.86
29.93,78.74,1.28
24.37,92.17,0.65
26.7,77.9,0.79
29.91,78.7,1.28
25.6,75.61,0.58
21.48,85.82,0.57
33.58,74.09,1.74
26.47,92.47,0.86
19.3,75.67,0.28
22.98,71.47,0.08
22.57,70.42,0.01
23.57,76.78,0.48
32.74,74.81,1.47
24.15,78.23,0.62
28.39,75.63,0.88
28.35,75.64,0.87
16.22,73.83,0.33
27.13,94.77,1.1
26.17,93.57,1.07
17.94,78.68,0.52
20.17,84.85,0.59
27.1,79.95,0.95
26.35,89.9,0.81
27.27,93.07,1.2
32.56,74.92,1.44
24.53,84.92,0.67
12.17,76.6,1.14
15.68,74.97,0.47
34.27,74.47,2.07
34.45,74.41,2.16
34.39,73.79,1.92
21.07,83.2,0.53
18.02,78.9,0.52
34.37,73.98,2.32
23.75,86.17,0.6
16.05,73.92,0.35
23.42,91.67,0.63
29.08,74.68,0.89
28.87,75.45,0.9
25.32,86.02,0.69
25.55,84.15,0.77
23.98,86.02,0.62
22.97,74.12,0.17
24.76,79.05,0.71
23.13,84.85,0.64
20.0,76.3,0.34
27.5,95.75,1.25
16.73,76.92,0.5
21.7,74.03,0.09
26.28,79.29,0.83
25.93,90.77,0.75
27.79,79.31,0.98
29.28,78.12,1.07
25.97,85.12,0.79
28.19,74.69,0.83
26.13,89.47,0.77
10.03,76.3,1.4
11.22,76.15,1.18
13.07,80.26,1.25
17.58,78.54,0.54
13.25,80.33,1.22
13.13,80.25,1.23
8.18,77.63,1.83
26.75,82.08,0.93
25.93,80.83,0.86
30.92,74.67,1.1
26.3,87.27,0.81
22.37,88.78,0.59
16.28,78.68,0.65
30.72,76.77,1.2
26.35,79.23,0.83
25.77,75.63,0.61
24.18,92.02,0.63
11.18,75.85,1.18
17.84,78.12,0.5
15.42,75.63,0.55
27.33,88.62,0.99
16.53,80.8,0.75
24.75,84.95,0.69
25.4,83.55,0.77
22.77,83.97,0.64
27.13,81.97,0.97
21.47,80.2,0.56
19.27,84.88,0.69
26.75,83.37,0.92
17.35,76.85,0.47
34.05,74.4,2.2
24.65,77.32,0.61
28.42,77.0,0.92
26.1,91.58,0.79
26.23,78.25,0.77
15.42,75.62,0.55
27.23,79.28,0.92
33.89,74.29,2.01
24.05,76.45,0.48
25.58,76.3,0.61
15.73,75.98,0.55
16.27,76.83,0.53
23.52,74.0,0.21
20.1,84.57,0.58
9.92,77.53,1.5
34.16,74.57,2.05
30.65,78.85,1.3
27.85,78.47,0.93
14.55,78.73,0.82
29.9,78.68,1.27
26.01,79.38,0.81
32.79,74.77,1.48
29.97,78.53,1.27
26.7,94.12,1.01
17.61,78.47,0.53
27.72,79.65,1.0
22.77,87.8,0.54
23.28,84.55,0.66
20.88,73.72,0.07
28.3,75.71,0.87
22.9,88.16,0.55
20.13,78.32,0.48
29.85,77.05,1.09
25.22,87.17,0.66
23.95,87.1,0.57
22.7,70.65,0.03
27.22,73.47,0.71
30.72,75.98,1.15
32.98,74.41,1.46
28.36,74.9,0.85
27.7,79.57,0.99
20.67,79.13,0.51
22.25,88.5,0.59
33.26,74.14,1.66
27.32,84.32,0.98
23.27,87.97,0.54
31.52,76.02,1.3
27.98,72.25,0.73
24.9,72.83,0.36
20.72,70.99,0.0
34.08,74.57,2.15
14.97,78.25,0.73
34.1,74.58,2.14
21.92,85.37,0.58
22.02,69.92,-0.03
22.26,88.97,0.61
22.86,88.04,0.54
16.75,77.3,0.52
25.73,75.54,0.6
19.92,77.05,0.41
25.93,85.33,0.78
18.17,73.3,0.17
21.33,69.9,-0.04
16.72,75.43,0.41
17.21,78.9,0.54
14.83,76.63,0.7
25.96,75.59,0.63
12.84,80.06,1.25
25.6,85.2,0.75
18.98,84.02,0.65
20.37,83.37,0.54
17.63,80.93,0.61
22.55,72.22,0.07
20.28,84.7,0.58
14.98,74.92,0.53
15.17,77.38,0.67
16.28,76.62,0.52
24.67,84.77,0.68
30.64,76.81,1.19
30.1,79.97,1.41
28.07,94.57,1.38
24.67,75.6,0.49
18.02,79.57,0.52
27.38,80.17,1.0
17.82,73.1,0.19
13.0,76.15,1.04
28.08,96.5,1.44
23.98,85.37,0.7
29.17,75.73,0.94
14.28,74.45,0.62
22.77,77.77,0.5
10.58,92.55,2.71
17.45,78.47,0.54
9.5,76.63,1.5
15.8,76.98,0.56
15.02,75.95,0.6
30.03,77.89,0.97
28.18,75.39,0.85
34.28,74.2,2.17
13.0,75.7,0.99
33.39,74.23,1.79
27.65,79.95,1.01
15.43,75.8,0.56
26.86,79.06,0.86
31.03,78.73,1.53
22.57,75.82,0.33
34.53,75.13,2.82
24.6,87.08,0.63
17.55,75.9,0.37
22.62,86.13,0.54
23.67,84.95,0.66
26.39,79.48,0.85
26.53,75.87,0.71
13.95,76.62,0.82
29.93,78.52,1.26
26.0,92.87,0.82
14.03,75.68,0.72
13.54,77.3,0.96
27.57,93.85,1.22
12.82,77.03,1.06
13.23,77.12,1.04
16.47,76.53,0.49
34.3,74.25,2.12
28.78,95.88,1.51
24.53,84.02,0.69
30.17,76.54,1.1
27.68,76.45,0.85
25.05,84.63,0.71
27.6,78.05,0.88
26.27,91.37,0.79
23.83,73.03,0.2
24.77,93.9,0.97
22.72,75.8,0.34
17.69,78.87,0.53
27.16,79.27,0.91
29.84,78.75,1.22
24.68,74.13,0.39
27.68,74.07,0.77
11.57,75.6,1.1
11.77,79.38,1.35
27.24,79.44,0.93
34.65,76.02,3.26
30.1,77.75,1.17
20.13,85.15,0.61
24.28,85.17,0.7
27.33,82.7,0.99
23.2,79.95,0.67
19.08,82.03,0.58
26.82,75.8,0.75
26.9,70.92,0.58
21.05,75.57,0.25
25.35,72.62,0.42
26.53,88.72,0.85
32.67,74.83,1.48
22.82,86.18,0.53
22.82,86.18,0.53
22.88,84.13,0.67
25.08,73.08,0.4
18.2,75.2,0.28
24.53,76.17,0.5
25.45,78.58,0.73
21.92,84.08,0.56
26.3,73.02,0.57
30.55,79.57,1.52
33.19,74.15,1.58
14.53,76.35,0.73
22.23,85.65,0.56
25.48,84.42,0.76
25.05,84.08,0.73
26.2,73.94,0.6
28.88,74.07,0.86
26.72,89.88,0.92
21.73,75.15,0.22
22.47,70.07,-0.0
26.1,92.73,0.82
26.38,79.19,0.83
24.92,86.22,0.66
17.61,78.88,0.53
25.55,82.32,0.81
23.63,75.13,0.33
28.05,94.18,1.26
30.64,76.05,1.14
30.8,75.82,1.15
29.28,77.42,1.03
33.98,74.27,2.14
28.06,75.28,0.84
25.1,78.8,0.72
33.78,74.07,1.73
26.21,73.07,0.56
33.34,74.21,1.7
32.6,74.87,1.44
24.43,85.52,0.7
23.1,74.15,0.18
22.17,86.63,0.54
30.03,77.83,1.17
17.74,78.47,0.53
28.33,75.68,0.87
16.33,74.78,0.38
16.43,74.68,0.36
25.38,74.3,0.51
29.8,78.65,1.25
22.52,85.63,0.58
26.13,87.62,0.78
20.78,85.72,0.58
20.82,75.97,0.29
21.85,87.92,0.6
10.95,78.08,1.32
24.32,92.0,0.64
16.95,82.23,0.81
27.07,88.47,1.09
18.33,84.13,0.76
11.73,78.97,1.3
32.4,78.25,2.13
20.27,81.48,0.54
22.67,76.73,0.41
11.83,75.33,1.04
26.43,80.37,0.92
8.08,77.5,1.84
31.33,75.33,1.2
10.92,79.83,1.57
10.07,78.8,1.6
29.7,77.03,1.07
14.78,74.13,0.54
33.0,74.9,1.78
21.62,85.58,0.56
21.32,70.32,-0.03
24.98,79.92,0.78
17.25,80.15,0.6
21.83,76.37,0.34
21.82,75.62,0.26
27.9,80.8,1.08
22.08,82.15,0.6
9.95,76.27,1.42
10.23,77.47,2.26
12.95,78.3,1.2
16.7,74.23,0.29
22.53,88.33,0.57
22.65,88.45,0.57
7.22,93.73,3.42
10.75,79.35,1.52
25.15,75.85,0.54
25.18,75.9,0.55
17.55,80.63,0.6
9.53,76.6,1.5
11.25,75.78,1.17
23.4,88.52,0.56
10.4,78.67,1.51
33.58,75.5,1.98
34.42,74.3,2.11
15.83,78.07,0.62
26.85,79.5,0.89
25.22,82.72,0.77
13.24,76.86,0.99
19.28,74.37,0.15
17.87,78.76,0.52
17.22,78.03,0.55
13.55,76.01,0.87
22.5,73.75,0.11
21.53,73.43,0.07
32.68,74.76,1.45
31.91,75.45,1.32
29.92,77.07,1.1
13.02,80.12,1.23
27.57,79.35,0.96
27.51,79.51,0.96
30.02,79.07,1.31
13.35,77.98,1.1
34.3,73.95,2.17
34.12,74.81,2.19
28.62,72.97,0.8
22.17,85.62,0.56
27.78,79.32,0.96
21.85,72.13,0.05
17.5,74.75,0.29
26.7,89.45,0.92
28.19,75.7,0.86
20.03,77.83,0.46
25.25,94.47,1.09
26.89,79.65,0.91
17.92,82.97,0.72
22.44,88.1,0.56
11.7,75.53,1.08
30.04,73.95,0.96
9.82,77.15,1.8
21.95,85.32,0.58
21.23,78.9,0.53
22.05,78.3,0.56
26.8,75.64,0.73
19.25,73.15,0.11
19.5,83.32,0.58
33.23,74.39,1.63
32.96,74.41,1.46
24.6,84.82,0.68
29.79,78.71,1.25
19.9,86.12,0.69
29.87,78.72,1.26
20.27,85.18,0.6
21.42,79.27,0.57
17.07,78.49,0.58
25.4,79.5,0.77
12.85,74.9,0.85
28.93,74.89,0.89
23.1,71.4,0.09
23.43,85.32,0.64
12.42,78.38,1.15
11.83,75.67,1.05
23.48,70.47,0.06
22.42,71.87,0.05
25.13,75.58,0.54
24.54,75.71,0.48
25.7,81.35,0.83
17.28,76.22,0.42
21.78,85.97,0.55
21.32,77.61,0.45
10.92,76.43,1.24
10.47,79.73,1.63
20.23,83.28,0.54
18.15,73.0,0.15
27.05,79.39,0.91
26.65,79.99,0.91
27.23,79.25,0.92
23.1,74.87,0.25
28.37,76.9,0.92
29.82,78.53,1.24
19.72,76.27,0.34
33.77,74.35,2.14
30.66,76.84,1.2
26.18,92.73,0.88
23.32,91.32,0.62
25.05,75.0,0.5
26.49,79.19,0.84
9.18,76.55,1.56
10.98,78.23,1.32
34.45,74.29,2.1
24.75,78.25,0.66
24.03,79.2,0.68
17.75,77.9,0.5
27.08,79.82,0.94
15.85,77.27,0.59
22.84,88.42,0.56
24.98,78.27,0.68
23.6,74.62,0.27
23.35,77.07,0.49
16.62,73.9,0.27
23.63,85.0,0.66
22.6,81.47,0.68
18.75,73.55,0.09
26.99,79.64,0.92
24.82,78.76,0.7
33.53,77.5,2.69
24.37,82.95,0.73
25.05,84.05,0.73
25.07,83.95,0.73
16.55,73.62,0.3
29.89,78.66,1.26
24.86,78.86,0.71
29.12,75.52,0.93
25.5,75.85,0.58
23.97,93.22,0.86
