Latitude,Longitude,PTrain_LC1
16.75,77.3,1.41
25.73,75.54,0.61
19.92,77.05,0.99
25.93,85.33,1.31
18.17,73.3,1.12
21.33,69.9,0.57
16.72,75.43,1.51
17.21,78.9,1.51
14.83,76.63,1.82
25.96,75.59,0.62
12.84,80.06,2.17
25.6,85.2,1.3
18.98,84.02,1.81
20.37,83.37,1.41
17.63,80.93,1.5
22.55,72.22,0.49
20.28,84.7,1.6
14.98,74.92,1.82
15.17,77.38,1.66
16.28,76.62,1.48
24.67,84.77,1.28
30.64,76.81,0.46
30.1,79.97,0.4
28.07,94.57,2.25
24.67,75.6,0.61
18.02,79.57,1.39
27.38,80.17,0.6
17.82,73.1,1.18
13.0,76.15,2.41
28.08,96.5,2.18
23.98,85.37,1.46
29.17,75.73,0.53
14.28,74.45,1.76
22.77,77.77,0.77
10.58,92.55,3.35
17.45,78.47,1.5
9.5,76.63,2.23
15.8,76.98,1.48
15.02,75.95,1.78
30.03,77.89,1.01
28.18,75.39,0.55
34.28,74.2,0.4
13.0,75.7,2.43
33.39,74.23,0.26
27.65,79.95,0.59
15.43,75.8,1.76
26.86,79.06,0.63
31.03,78.73,0.59
22.57,75.82,0.73
34.53,75.13,0.83
24.6,87.08,1.52
17.55,75.9,1.29
22.62,86.13,1.49
23.67,84.95,1.4
26.39,79.48,0.64
26.53,75.87,0.61
13.95,76.62,1.99
29.93,78.52,0.32
26.0,92.87,2.15
14.03,75.68,2.0
13.54,77.3,2.07
27.57,93.85,2.17
12.82,77.03,2.25
13.23,77.12,2.22
16.47,76.53,1.44
34.3,74.25,0.36
28.78,95.88,2.1
24.53,84.02,1.2
30.17,76.54,0.48
27.68,76.45,0.56
25.05,84.63,1.24
27.6,78.05,0.61
26.27,91.37,1.97
23.83,73.03,0.47
24.77,93.9,2.52
22.72,75.8,0.72
17.69,78.87,1.48
27.16,79.27,0.61
29.84,78.75,0.23
24.68,74.13,0.52
27.68,74.07,0.54
11.57,75.6,2.08
11.77,79.38,2.2
27.24,79.44,0.61
34.65,76.02,1.23
30.1,77.75,0.49
20.13,85.15,1.6
24.28,85.17,1.39
27.33,82.7,0.91
23.2,79.95,0.77
19.08,82.03,1.62
26.82,75.8,0.59
26.9,70.92,0.46
21.05,75.57,0.82
25.35,72.62,0.49
26.53,88.72,1.69
32.67,74.83,0.41
22.82,86.18,1.46
22.82,86.18,1.47
22.88,84.13,1.42
25.08,73.08,0.49
18.2,75.2,1.23
24.53,76.17,0.66
25.45,78.58,0.67
21.92,84.08,1.35
