Latitude,Longitude,PTrain_LC1
11.22,76.15,1.95
13.07,80.26,2.14
17.58,78.54,0.45
13.25,80.33,2.13
13.13,80.25,2.13
8.18,77.63,1.9
26.75,82.08,0.49
25.93,80.83,0.42
30.92,74.67,0.56
26.3,87.27,1.17
22.37,88.78,1.9
16.28,78.68,0.68
30.72,76.77,0.64
26.35,79.23,0.4
25.77,75.63,0.31
24.18,92.02,2.11
11.18,75.85,2.03
17.84,78.12,0.45
15.42,75.63,0.79
27.33,88.62,1.74
16.53,80.8,1.67
24.75,84.95,0.73
25.4,83.55,0.55
22.77,83.97,0.33
27.13,81.97,0.51
21.47,80.2,0.21
19.27,84.88,1.74
26.75,83.37,0.59
17.35,76.85,0.56
34.05,74.4,1.37
24.65,77.32,0.23
28.42,77.0,0.5
26.1,91.58,1.88
26.23,78.25,0.36
15.42,75.62,0.79
27.23,79.28,0.46
33.89,74.29,1.44
24.05,76.45,0.2
25.58,76.3,0.31
15.73,75.98,0.74
16.27,76.83,0.72
23.52,74.0,0.43
20.1,84.57,1.25
9.92,77.53,1.54
34.16,74.57,1.38
30.65,78.85,0.99
27.85,78.47,0.47
14.55,78.73,1.46
29.9,78.68,1.12
26.01,79.38,0.39
32.79,74.77,0.63
29.97,78.53,1.02
26.7,94.12,2.03
17.61,78.47,0.45
27.72,79.65,0.5
22.77,87.8,1.73
23.28,84.55,0.42
20.88,73.72,0.43
28.3,75.71,0.49
22.9,88.16,1.74
20.13,78.32,0.34
29.85,77.05,0.58
25.22,87.17,1.23
23.95,87.1,1.2
22.7,70.65,0.6
27.22,73.47,0.41
30.72,75.98,0.6
32.98,74.41,0.7
28.36,74.9,0.49
27.7,79.57,0.5
20.67,79.13,0.29
22.25,88.5,1.9
33.26,74.14,1.12
27.32,84.32,0.74
23.27,87.97,1.62
31.52,76.02,0.66
27.98,72.25,0.45
24.9,72.83,0.29
20.72,70.99,0.89
34.08,74.57,1.4
14.97,78.25,1.2
34.1,74.58,1.39
21.92,85.37,0.57
22.02,69.92,0.5
22.26,88.97,1.95
22.86,88.04,1.73
16.75,77.3,0.65
25.73,75.54,0.3
19.92,77.05,0.27
25.93,85.33,0.86
18.17,73.3,1.24
21.33,69.9,0.76
16.72,75.43,0.61
17.21,78.9,0.74
14.83,76.63,0.87
25.96,75.59,0.32
12.84,80.06,2.06
25.6,85.2,0.83
18.98,84.02,0.94
20.37,83.37,0.81
17.63,80.93,1.27
22.55,72.22,0.71
20.28,84.7,1.03
14.98,74.92,0.99
15.17,77.38,0.88
16.28,76.62,0.71
24.67,84.77,0.7
30.64,76.81,0.62
30.1,79.97,1.08
28.07,94.57,2.22
24.67,75.6,0.22
18.02,79.57,0.66
27.38,80.17,0.51
17.82,73.1,1.32
13.0,76.15,1.06
28.08,96.5,2.33
23.98,85.37,0.57
29.17,75.73,0.52
14.28,74.45,1.82
22.77,77.77,0.2
10.58,92.55,2.77
17.45,78.47,0.49
9.5,76.63,1.9
15.8,76.98,0.87
15.02,75.95,0.92
30.03,77.89,1.26
28.18,75.39,0.49
34.28,74.2,1.48
13.0,75.7,1.05
33.39,74.23,1.27
27.65,79.95,0.51
15.43,75.8,0.8
26.86,79.06,0.42
31.03,78.73,0.79
22.57,75.82,0.11
34.53,75.13,1.64
24.6,87.08,1.11
17.55,75.9,0.59
22.62,86.13,1.04
23.67,84.95,0.53
26.39,79.48,0.41
26.53,75.87,0.36
13.95,76.62,0.99
29.93,78.52,1.02
26.0,92.87,2.0
14.03,75.68,1.06
13.54,77.3,0.99
27.57,93.85,2.32
12.82,77.03,1.1
13.23,77.12,1.03
16.47,76.53,0.71
34.3,74.25,1.46
28.78,95.88,2.37
24.53,84.02,0.56
30.17,76.54,0.58
27.68,76.45,0.48
25.05,84.63,0.71
27.6,78.05,0.45
26.27,91.37,1.87
23.83,73.03,0.34
24.77,93.9,1.69
22.72,75.8,0.12
17.69,78.87,0.5
27.16,79.27,0.46
29.84,78.75,1.17
24.68,74.13,0.21
27.68,74.07,0.44
11.57,75.6,2.05
11.77,79.38,2.0
27.24,79.44,0.47
34.65,76.02,1.86
30.1,77.75,0.62
20.13,85.15,1.42
24.28,85.17,0.61
27.33,82.7,0.57
23.2,79.95,0.28
19.08,82.03,0.44
26.82,75.8,0.39
26.9,70.92,0.44
21.05,75.57,0.43
25.35,72.62,0.36
26.53,88.72,1.37
32.67,74.83,0.68
22.82,86.18,1.13
22.82,86.18,1.11
22.88,84.13,0.34
25.08,73.08,0.29
18.2,75.2,0.47
24.53,76.17,0.24
25.45,78.58,0.32
21.92,84.08,0.57
26.3,73.02,0.37
30.55,79.57,1.25
33.19,74.15,0.95
14.53,76.35,0.9
22.23,85.65,0.7
25.48,84.42,0.68
25.05,84.08,0.61
26.2,73.94,0.34
28.88,74.07,0.49
26.72,89.88,1.52
21.73,75.15,0.26
22.47,70.07,0.65
26.1,92.73,2.01
26.38,79.19,0.4
24.92,86.22,1.02
17.61,78.88,0.53
25.55,82.32,0.43
23.63,75.13,0.17
28.05,94.18,2.09
30.64,76.05,0.59
30.8,75.82,0.59
29.28,77.42,0.55
33.98,74.27,1.33
28.06,75.28,0.48
25.1,78.8,0.31
33.78,74.07,1.14
26.21,73.07,0.37
33.34,74.21,1.14
32.6,74.87,0.63
24.43,85.52,0.67
23.1,74.15,0.32
22.17,86.63,1.34
30.03,77.83,0.61
17.74,78.47,0.43
28.33,75.68,0.49
16.33,74.78,0.68
16.43,74.68,0.68
25.38,74.3,0.26
29.8,78.65,1.0
22.52,85.63,0.63
26.13,87.62,1.23
20.78,85.72,1.37
20.82,75.97,0.32
21.85,87.92,1.87
10.95,78.08,1.64
24.32,92.0,2.08
16.95,82.23,1.85
27.07,88.47,1.52
18.33,84.13,1.81
11.73,78.97,1.8
32.4,78.25,1.3
20.27,81.48,0.29
22.67,76.73,0.19
11.83,75.33,2.01
26.43,80.37,0.47
8.08,77.5,1.85
31.33,75.33,0.59
10.92,79.83,2.18
10.07,78.8,1.93
29.7,77.03,0.57
14.78,74.13,1.8
33.0,74.9,1.19
21.62,85.58,0.72
21.32,70.32,0.71
24.98,79.92,0.38
17.25,80.15,1.16
21.83,76.37,0.24
21.82,75.62,0.33
27.9,80.8,0.55
22.08,82.15,0.21
9.95,76.27,2.03
10.23,77.47,2.23
12.95,78.3,1.06
16.7,74.23,0.67
22.53,88.33,1.84
22.65,88.45,1.82
7.22,93.73,2.39
10.75,79.35,2.06
25.15,75.85,0.28
25.18,75.9,0.28
17.55,80.63,1.15
9.53,76.6,1.89
11.25,75.78,2.05
23.4,88.52,1.65
10.4,78.67,1.85
33.58,75.5,1.11
34.42,74.3,1.41
