Latitude,Longitude,PTrain_LC1
30.58,76.82,0.83
25.98,87.13,1.69
24.42,85.98,1.1
28.93,76.17,0.76
33.53,74.22,1.33
29.93,78.74,0.91
24.37,92.17,2.81
26.7,77.9,0.62
29.91,78.7,0.98
25.6,75.61,0.61
21.48,85.82,1.11
33.58,74.09,1.33
26.47,92.47,2.78
19.3,75.67,0.93
22.98,71.47,1.75
22.57,70.42,2.13
23.57,76.78,0.44
32.74,74.81,0.82
24.15,78.23,0.4
28.39,75.63,0.7
28.35,75.64,0.7
16.22,73.83,2.13
27.13,94.77,3.1
26.17,93.57,2.66
17.94,78.68,0.76
20.17,84.85,1.41
27.1,79.95,0.6
26.35,89.9,2.24
27.27,93.07,2.77
32.56,74.92,0.82
24.53,84.92,1.1
12.17,76.6,1.72
15.68,74.97,1.45
34.27,74.47,1.42
34.45,74.41,1.5
34.39,73.79,1.32
21.07,83.2,0.87
18.02,78.9,0.75
34.37,73.98,1.92
23.75,86.17,1.26
16.05,73.92,2.05
23.42,91.67,2.82
29.08,74.68,0.77
28.87,75.45,0.76
25.32,86.02,1.46
25.55,84.15,1.06
23.98,86.02,1.18
22.97,74.12,1.0
24.76,79.05,0.41
23.13,84.85,0.74
20.0,76.3,0.69
27.5,95.75,3.17
16.73,76.92,1.01
21.7,74.03,0.51
26.28,79.29,0.56
25.93,90.77,2.42
27.79,79.31,0.67
29.28,78.12,0.77
25.97,85.12,1.29
28.19,74.69,0.68
26.13,89.47,2.17
10.03,76.3,2.22
11.22,76.15,2.14
13.07,80.26,1.92
17.58,78.54,0.81
13.25,80.33,1.91
13.13,80.25,1.91
8.18,77.63,2.15
26.75,82.08,0.79
25.93,80.83,0.56
30.92,74.67,0.82
26.3,87.27,1.7
22.37,88.78,2.4
16.28,78.68,1.05
30.72,76.77,0.83
26.35,79.23,0.57
25.77,75.63,0.58
24.18,92.02,2.81
11.18,75.85,2.23
17.84,78.12,0.78
15.42,75.63,1.39
27.33,88.62,2.39
16.53,80.8,1.68
24.75,84.95,1.12
25.4,83.55,0.94
22.77,83.97,0.59
27.13,81.97,0.8
21.47,80.2,0.38
19.27,84.88,1.91
26.75,83.37,0.99
17.35,76.85,0.91
34.05,74.4,1.85
24.65,77.32,0.4
28.42,77.0,0.72
26.1,91.58,2.6
26.23,78.25,0.57
15.42,75.62,1.39
27.23,79.28,0.63
33.89,74.29,1.69
24.05,76.45,0.49
25.58,76.3,0.63
15.73,75.98,1.28
16.27,76.83,1.08
23.52,74.0,1.18
20.1,84.57,1.5
9.92,77.53,1.82
34.16,74.57,1.41
30.65,78.85,1.6
27.85,78.47,0.68
14.55,78.73,1.53
29.9,78.68,1.2
26.01,79.38,0.54
32.79,74.77,0.82
29.97,78.53,1.03
26.7,94.12,2.98
17.61,78.47,0.8
27.72,79.65,0.65
22.77,87.8,2.19
23.28,84.55,0.68
20.88,73.72,1.29
28.3,75.71,0.7
22.9,88.16,2.21
20.13,78.32,0.5
29.85,77.05,0.8
25.22,87.17,1.71
23.95,87.1,1.6
22.7,70.65,2.02
27.22,73.47,0.64
30.72,75.98,0.83
32.98,74.41,0.88
28.36,74.9,0.7
27.7,79.57,0.65
20.67,79.13,0.45
22.25,88.5,2.38
33.26,74.14,1.11
27.32,84.32,1.19
23.27,87.97,2.08
31.52,76.02,0.84
27.98,72.25,0.83
24.9,72.83,0.82
20.72,70.99,2.36
34.08,74.57,1.37
14.97,78.25,1.38
34.1,74.58,1.35
21.92,85.37,0.92
22.02,69.92,1.95
22.26,88.97,2.46
22.86,88.04,2.2
16.75,77.3,0.98
25.73,75.54,0.57
19.92,77.05,0.6
25.93,85.33,1.34
18.17,73.3,2.2
21.33,69.9,2.4
16.72,75.43,1.22
17.21,78.9,1.02
14.83,76.63,1.31
25.96,75.59,0.59
12.84,80.06,1.87
25.6,85.2,1.29
18.98,84.02,1.23
20.37,83.37,1.06
17.63,80.93,1.39
22.55,72.22,1.96
20.28,84.7,1.31
14.98,74.92,1.64
15.17,77.38,1.19
16.28,76.62,1.12
24.67,84.77,1.08
30.64,76.81,0.83
30.1,79.97,1.52
28.07,94.57,3.13
24.67,75.6,0.46
18.02,79.57,0.92
27.38,80.17,0.61
17.82,73.1,2.29
13.0,76.15,1.73
28.08,96.5,3.42
23.98,85.37,0.83
29.17,75.73,0.77
14.28,74.45,2.3
22.77,77.77,0.47
10.58,92.55,3.17
17.45,78.47,0.84
9.5,76.63,2.13
15.8,76.98,1.18
15.02,75.95,1.43
30.03,77.89,1.17
28.18,75.39,0.68
34.28,74.2,1.74
13.0,75.7,1.78
33.39,74.23,1.27
27.65,79.95,0.64
15.43,75.8,1.36
26.86,79.06,0.61
31.03,78.73,1.49
22.57,75.82,0.47
34.53,75.13,1.95
24.6,87.08,1.51
17.55,75.9,1.1
22.62,86.13,1.4
23.67,84.95,0.8
26.39,79.48,0.57
26.53,75.87,0.58
13.95,76.62,1.44
29.93,78.52,1.03
26.0,92.87,2.82
14.03,75.68,1.61
13.54,77.3,1.37
27.57,93.85,3.31
12.82,77.03,1.55
13.23,77.12,1.49
16.47,76.53,1.12
34.3,74.25,1.59
28.78,95.88,3.38
24.53,84.02,0.91
30.17,76.54,0.82
27.68,76.45,0.63
25.05,84.63,1.12
27.6,78.05,0.67
26.27,91.37,2.6
23.83,73.03,1.09
24.77,93.9,2.58
22.72,75.8,0.47
17.69,78.87,0.83
27.16,79.27,0.62
29.84,78.75,1.42
24.68,74.13,0.52
27.68,74.07,0.65
11.57,75.6,2.27
11.77,79.38,1.87
27.24,79.44,0.62
34.65,76.02,2.26
30.1,77.75,0.81
20.13,85.15,1.67
24.28,85.17,0.89
27.33,82.7,0.93
23.2,79.95,0.3
19.08,82.03,0.75
26.82,75.8,0.55
26.9,70.92,0.86
21.05,75.57,1.03
25.35,72.62,0.96
26.53,88.72,1.96
32.67,74.83,0.82
22.82,86.18,1.49
22.82,86.18,1.47
22.88,84.13,0.61
25.08,73.08,0.77
18.2,75.2,1.09
24.53,76.17,0.56
25.45,78.58,0.49
21.92,84.08,0.87
26.3,73.02,0.77
30.55,79.57,1.44
33.19,74.15,0.98
14.53,76.35,1.4
22.23,85.65,1.04
25.48,84.42,1.1
25.05,84.08,1.01
26.2,73.94,0.64
28.88,74.07,0.75
26.72,89.88,2.08
21.73,75.15,0.84
22.47,70.07,2.22
26.1,92.73,2.82
26.38,79.19,0.57
24.92,86.22,1.45
17.61,78.88,0.85
25.55,82.32,0.74
23.63,75.13,0.55
28.05,94.18,3.04
30.64,76.05,0.83
30.8,75.82,0.83
29.28,77.42,0.77
33.98,74.27,1.85
28.06,75.28,0.66
25.1,78.8,0.44
33.78,74.07,1.18
26.21,73.07,0.82
33.34,74.21,1.12
32.6,74.87,0.82
24.43,85.52,0.96
23.1,74.15,1.0
22.17,86.63,1.72
30.03,77.83,0.81
17.74,78.47,0.78
28.33,75.68,0.7
16.33,74.78,1.39
16.43,74.68,1.39
25.38,74.3,0.47
29.8,78.65,1.0
22.52,85.63,0.96
26.13,87.62,1.77
20.78,85.72,1.65
20.82,75.97,0.83
21.85,87.92,2.33
10.95,78.08,1.74
24.32,92.0,2.78
16.95,82.23,1.82
27.07,88.47,1.95
18.33,84.13,1.89
11.73,78.97,1.77
32.4,78.25,1.68
20.27,81.48,0.56
22.67,76.73,0.56
11.83,75.33,2.27
26.43,80.37,0.54
