Latitude,Longitude,PTrain_AC1
24.05,86.9,4.79
25.88,87.13,4.85
28.16,75.46,1.86
25.68,93.23,5.72
21.43,71.22,4.64
25.3,93.72,5.65
28.68,73.12,1.47
24.88,78.97,3.19
11.83,76.07,6.19
27.22,93.12,5.63
28.78,96.27,6.75
22.22,78.43,3.84
25.68,94.3,6.0
24.47,86.25,4.59
29.98,77.1,1.73
24.79,79.08,3.22
24.52,84.95,4.51
20.68,86.85,5.57
28.75,73.99,1.49
25.07,75.5,3.07
26.22,87.02,4.81
28.67,96.15,6.47
11.4,79.7,5.6
17.6,78.75,4.7
21.52,73.65,4.56
16.45,74.33,5.59
25.17,82.53,3.98
15.58,79.88,5.59
26.63,94.92,6.18
19.07,79.07,4.27
22.12,77.5,3.74
24.05,86.15,4.62
23.18,76.97,3.54
27.93,79.28,2.6
17.56,78.22,4.61
10.97,77.28,5.09
17.29,78.03,4.73
27.12,79.41,2.78
10.7,76.75,5.28
17.23,79.13,4.8
23.67,76.23,3.46
24.45,85.17,4.53
18.72,72.9,5.52
12.5,76.3,5.85
26.5,75.67,2.57
21.1,85.33,4.96
21.7,79.68,3.95
22.12,76.9,3.72
30.69,76.09,1.45
26.72,94.23,6.23
25.27,87.22,4.9
13.63,74.7,6.02
20.5,85.83,5.28
19.97,72.72,5.26
32.53,75.97,1.88
24.05,84.07,4.38
23.83,79.45,3.46
26.17,85.9,4.6
27.05,88.27,5.8
25.67,78.47,2.97
24.2,72.2,3.52
30.32,78.03,1.77
24.92,84.18,4.36
16.38,73.35,5.91
23.78,86.43,4.72
22.6,75.3,3.87
12.13,78.03,4.95
32.27,76.38,1.49
26.67,77.83,2.66
26.02,89.98,5.33
26.15,89.92,5.32
22.18,88.2,5.52
27.48,95.02,6.48
21.83,87.78,5.51
20.72,70.92,5.09
22.83,74.27,4.01
17.72,83.3,5.69
24.27,87.25,4.85
23.83,73.67,3.66
21.18,81.28,4.28
23.48,87.32,5.0
22.37,69.08,4.65
26.12,92.87,5.87
29.9,78.55,1.96
32.86,74.9,1.57
17.91,78.01,4.49
24.48,71.73,3.45
30.27,80.52,4.88
32.58,74.93,1.54
26.91,79.6,2.87
26.1,90.78,5.47
24.93,92.77,5.77
24.03,84.07,4.39
20.42,72.85,5.15
26.31,79.3,2.94
30.22,74.17,1.1
34.17,74.9,1.69
32.65,74.9,1.54
24.73,79.21,3.24
26.63,92.8,5.91
34.33,74.38,1.33
24.02,85.55,4.48
28.45,72.5,1.56
25.33,88.32,5.07
30.75,76.15,1.46
27.9,96.3,6.74
28.02,96.23,6.48
25.75,75.38,2.84
18.25,77.1,4.39
25.74,79.16,3.05
23.13,78.68,3.54
27.98,79.42,2.63
26.17,85.0,4.41
29.73,78.47,2.06
23.43,73.75,3.9
20.03,75.03,4.4
33.13,75.98,2.16
29.86,78.64,2.06
26.92,71.37,2.3
30.66,76.83,1.62
24.6,92.83,5.75
33.27,74.55,1.14
17.65,77.47,4.53
30.58,76.82,1.62
25.98,87.13,4.85
24.42,85.98,4.57
28.93,76.17,1.75
33.53,74.22,1.17
29.93,78.74,1.98
24.37,92.17,5.62
26.7,77.9,2.66
29.91,78.7,1.97
25.6,75.61,2.91
21.48,85.82,4.9
33.58,74.09,0.93
26.47,92.47,5.81
19.3,75.67,4.37
22.98,71.47,4.1
22.57,70.42,4.52
23.57,76.78,3.46
32.74,74.81,1.6
24.15,78.23,3.31
28.39,75.63,1.81
28.35,75.64,1.83
16.22,73.83,5.69
27.13,94.77,6.42
26.17,93.57,5.67
17.94,78.68,4.62
20.17,84.85,5.17
27.1,79.95,2.93
26.35,89.9,5.29
27.27,93.07,5.62
32.56,74.92,1.53
24.53,84.92,4.52
12.17,76.6,5.73
15.68,74.97,5.6
34.27,74.47,1.35
34.45,74.41,1.45
34.39,73.79,1.03
21.07,83.2,4.61
18.02,78.9,4.61
34.37,73.98,3.14
23.75,86.17,4.71
16.05,73.92,5.75
23.42,91.67,5.59
29.08,74.68,1.49
28.87,75.45,1.66
25.32,86.02,4.7
25.55,84.15,4.3
23.98,86.02,4.64
22.97,74.12,4.0
24.76,79.05,3.22
23.13,84.85,4.49
20.0,76.3,4.14
27.5,95.75,6.67
16.73,76.92,4.47
21.7,74.03,4.5
26.28,79.29,2.95
25.93,90.77,5.44
27.79,79.31,2.64
29.28,78.12,2.08
25.97,85.12,4.47
28.19,74.69,1.77
26.13,89.47,5.25
10.03,76.3,5.65
11.22,76.15,5.62
13.07,80.26,5.77
17.58,78.54,4.72
13.25,80.33,5.78
13.13,80.25,5.75
8.18,77.63,5.25
26.75,82.08,3.52
25.93,80.83,3.36
30.92,74.67,1.14
26.3,87.27,4.84
22.37,88.78,5.48
16.28,78.68,5.12
30.72,76.77,1.59
26.35,79.23,2.92
25.77,75.63,2.84
24.18,92.02,5.6
11.18,75.85,5.84
17.84,78.12,4.53
15.42,75.63,5.38
27.33,88.62,5.41
16.53,80.8,5.43
24.75,84.95,4.51
25.4,83.55,4.19
22.77,83.97,4.44
27.13,81.97,3.41
21.47,80.2,4.07
19.27,84.88,5.62
26.75,83.37,3.89
17.35,76.85,4.43
34.05,74.4,2.29
24.65,77.32,3.17
28.42,77.0,2.01
26.1,91.58,5.6
26.23,78.25,2.81
15.42,75.62,5.39
27.23,79.28,2.73
33.89,74.29,1.56
24.05,76.45,3.35
25.58,76.3,2.94
15.73,75.98,5.13
16.27,76.83,4.6
23.52,74.0,3.82
20.1,84.57,5.16
9.92,77.53,5.04
34.16,74.57,1.36
30.65,78.85,3.25
27.85,78.47,2.43
14.55,78.73,5.03
29.9,78.68,2.11
26.01,79.38,3.02
32.79,74.77,1.62
29.97,78.53,1.93
26.7,94.12,6.2
17.61,78.47,4.7
27.72,79.65,2.73
22.77,87.8,5.28
23.28,84.55,4.44
20.88,73.72,4.68
28.3,75.71,1.85
22.9,88.16,5.28
20.13,78.32,4.0
29.85,77.05,1.73
25.22,87.17,4.89
23.95,87.1,4.86
22.7,70.65,4.42
27.22,73.47,2.09
30.72,75.98,1.42
32.98,74.41,1.26
28.36,74.9,1.73
27.7,79.57,2.72
20.67,79.13,4.03
22.25,88.5,5.49
33.26,74.14,0.97
27.32,84.32,3.99
23.27,87.97,5.16
31.52,76.02,1.46
27.98,72.25,1.76
24.9,72.83,3.16
20.72,70.99,5.09
34.08,74.57,1.53
14.97,78.25,4.89
34.1,74.58,1.52
21.92,85.37,4.73
22.02,69.92,4.56
22.26,88.97,5.54
22.86,88.04,5.28
16.75,77.3,4.53
25.73,75.54,2.85
19.92,77.05,4.08
25.93,85.33,4.52
18.17,73.3,5.5
21.33,69.9,4.94
16.72,75.43,5.03
17.21,78.9,4.77
14.83,76.63,5.06
25.96,75.59,2.77
12.84,80.06,5.65
25.6,85.2,4.52
18.98,84.02,5.32
20.37,83.37,4.78
17.63,80.93,4.96
22.55,72.22,4.51
20.28,84.7,5.08
14.98,74.92,5.82
15.17,77.38,4.73
16.28,76.62,4.66
24.67,84.77,4.49
30.64,76.81,1.62
30.1,79.97,3.38
28.07,94.57,6.01
24.67,75.6,3.2
18.02,79.57,4.61
27.38,80.17,2.93
17.82,73.1,5.69
13.0,76.15,5.95
28.08,96.5,6.6
23.98,85.37,4.46
29.17,75.73,1.6
14.28,74.45,6.02
22.77,77.77,3.59
10.58,92.55,5.47
17.45,78.47,4.72
9.5,76.63,5.39
15.8,76.98,4.57
15.02,75.95,5.24
30.03,77.89,2.77
28.18,75.39,1.85
34.28,74.2,1.68
13.0,75.7,6.22
33.39,74.23,1.09
27.65,79.95,2.83
15.43,75.8,5.28
26.86,79.06,2.79
31.03,78.73,3.73
22.57,75.82,3.79
34.53,75.13,2.68
24.6,87.08,4.79
17.55,75.9,4.6
22.62,86.13,4.87
23.67,84.95,4.46
26.39,79.48,2.97
26.53,75.87,2.55
13.95,76.62,5.22
29.93,78.52,1.93
26.0,92.87,5.86
14.03,75.68,5.67
13.54,77.3,5.08
27.57,93.85,6.07
12.82,77.03,5.35
13.23,77.12,5.32
16.47,76.53,4.62
34.3,74.25,1.43
28.78,95.88,6.29
24.53,84.02,4.36
30.17,76.54,1.58
27.68,76.45,2.12
25.05,84.63,4.46
27.6,78.05,2.42
26.27,91.37,5.6
23.83,73.03,3.71
24.77,93.9,5.6
22.72,75.8,3.76
17.69,78.87,4.69
27.16,79.27,2.75
29.84,78.75,2.51
24.68,74.13,3.25
27.68,74.07,1.93
11.57,75.6,5.89
11.77,79.38,5.43
27.24,79.44,2.77
34.65,76.02,3.28
30.1,77.75,1.88
20.13,85.15,5.29
24.28,85.17,4.45
27.33,82.7,3.57
23.2,79.95,3.68
19.08,82.03,4.83
26.82,75.8,2.41
26.9,70.92,2.33
21.05,75.57,4.06
25.35,72.62,2.97
26.53,88.72,5.08
32.67,74.83,1.49
22.82,86.18,4.88
22.82,86.18,4.87
22.88,84.13,4.47
25.08,73.08,3.08
18.2,75.2,4.74
24.53,76.17,3.24
25.45,78.58,3.03
21.92,84.08,4.6
26.3,73.02,2.53
30.55,79.57,2.7
33.19,74.15,1.0
