Latitude,Longitude,PTrain_AC1
32.58,74.93,2.42
26.91,79.6,0.79
26.1,90.78,3.11
24.93,92.77,3.24
24.03,84.07,1.35
20.42,72.85,1.8
26.31,79.3,0.77
30.22,74.17,1.45
34.17,74.9,3.49
32.65,74.9,2.47
24.73,79.21,0.79
26.63,92.8,3.69
34.33,74.38,3.44
24.02,85.55,1.6
28.45,72.5,1.47
25.33,88.32,2.4
30.75,76.15,1.59
27.9,96.3,4.81
28.02,96.23,5.21
25.75,75.38,1.1
18.25,77.1,1.48
25.74,79.16,0.77
23.13,78.68,0.83
27.98,79.42,0.93
26.17,85.0,1.85
29.73,78.47,1.36
23.43,73.75,0.93
20.03,75.03,0.92
33.13,75.98,2.74
29.86,78.64,1.71
26.92,71.37,1.44
30.66,76.83,1.59
24.6,92.83,3.18
33.27,74.55,2.89
17.65,77.47,1.54
30.58,76.82,1.56
25.98,87.13,2.29
24.42,85.98,1.72
28.93,76.17,1.25
33.53,74.22,2.99
29.93,78.74,1.59
24.37,92.17,3.13
26.7,77.9,0.93
29.91,78.7,1.63
25.6,75.61,1.04
21.48,85.82,1.53
33.58,74.09,3.02
26.47,92.47,3.56
19.3,75.67,1.05
22.98,71.47,1.01
22.57,70.42,1.3
23.57,76.78,0.85
32.74,74.81,2.52
24.15,78.23,0.86
28.39,75.63,1.31
28.35,75.64,1.31
16.22,73.83,2.53
27.13,94.77,4.25
26.17,93.57,3.97
17.94,78.68,1.35
20.17,84.85,1.94
27.1,79.95,0.8
26.35,89.9,2.97
27.27,93.07,4.49
32.56,74.92,2.4
24.53,84.92,1.57
12.17,76.6,3.05
15.68,74.97,2.03
34.27,74.47,3.42
34.45,74.41,3.48
34.39,73.79,3.48
21.07,83.2,1.2
18.02,78.9,1.33
34.37,73.98,2.66
23.75,86.17,1.69
16.05,73.92,2.52
23.42,91.67,3.21
29.08,74.68,1.34
28.87,75.45,1.3
25.32,86.02,1.95
25.55,84.15,1.56
23.98,86.02,1.67
22.97,74.12,0.86
24.76,79.05,0.8
23.13,84.85,1.36
20.0,76.3,0.99
27.5,95.75,4.57
16.73,76.92,1.75
21.7,74.03,0.9
26.28,79.29,0.77
25.93,90.77,3.05
27.79,79.31,0.9
29.28,78.12,1.2
25.97,85.12,1.85
28.19,74.69,1.39
26.13,89.47,2.82
10.03,76.3,4.3
11.22,76.15,3.89
13.07,80.26,3.92
17.58,78.54,1.42
13.25,80.33,3.9
13.13,80.25,3.89
8.18,77.63,4.48
26.75,82.08,1.17
25.93,80.83,0.83
30.92,74.67,1.61
26.3,87.27,2.38
22.37,88.78,3.0
16.28,78.68,1.75
30.72,76.77,1.61
26.35,79.23,0.78
25.77,75.63,1.08
24.18,92.02,3.13
11.18,75.85,4.11
17.84,78.12,1.41
15.42,75.63,2.04
27.33,88.62,4.1
16.53,80.8,2.78
24.75,84.95,1.61
25.4,83.55,1.42
22.77,83.97,1.22
27.13,81.97,1.17
21.47,80.2,0.99
19.27,84.88,2.91
26.75,83.37,1.5
17.35,76.85,1.61
34.05,74.4,2.75
24.65,77.32,0.97
28.42,77.0,1.16
26.1,91.58,3.27
26.23,78.25,0.88
15.42,75.62,2.04
27.23,79.28,0.84
33.89,74.29,2.96
24.05,76.45,0.86
25.58,76.3,0.99
15.73,75.98,1.92
16.27,76.83,1.83
23.52,74.0,0.9
20.1,84.57,2.03
9.92,77.53,3.54
34.16,74.57,3.36
30.65,78.85,1.72
27.85,78.47,0.96
14.55,78.73,2.6
29.9,78.68,1.73
26.01,79.38,0.76
32.79,74.77,2.55
29.97,78.53,1.67
26.7,94.12,3.98
17.61,78.47,1.42
27.72,79.65,0.88
22.77,87.8,2.7
23.28,84.55,1.37
20.88,73.72,1.08
28.3,75.71,1.3
22.9,88.16,2.69
20.13,78.32,1.15
29.85,77.05,1.35
25.22,87.17,2.18
23.95,87.1,2.0
22.7,70.65,1.22
27.22,73.47,1.38
30.72,75.98,1.58
32.98,74.41,2.62
28.36,74.9,1.36
27.7,79.57,0.88
20.67,79.13,1.06
22.25,88.5,3.02
33.26,74.14,2.86
27.32,84.32,1.86
23.27,87.97,2.49
31.52,76.02,1.9
27.98,72.25,1.47
24.9,72.83,0.96
20.72,70.99,1.65
34.08,74.57,3.37
14.97,78.25,2.28
34.1,74.58,3.39
21.92,85.37,1.36
22.02,69.92,1.1
22.26,88.97,3.1
22.86,88.04,2.69
16.75,77.3,1.71
25.73,75.54,1.09
19.92,77.05,1.09
25.93,85.33,1.89
18.17,73.3,2.18
21.33,69.9,1.47
16.72,75.43,1.65
17.21,78.9,1.58
14.83,76.63,2.18
25.96,75.59,1.1
12.84,80.06,3.8
25.6,85.2,1.81
18.98,84.02,1.87
20.37,83.37,1.41
17.63,80.93,2.04
22.55,72.22,1.37
20.28,84.7,1.78
14.98,74.92,2.39
15.17,77.38,2.1
16.28,76.62,1.81
24.67,84.77,1.57
30.64,76.81,1.58
30.1,79.97,1.74
28.07,94.57,5.05
24.67,75.6,0.98
18.02,79.57,1.42
27.38,80.17,0.84
17.82,73.1,2.39
13.0,76.15,2.9
28.08,96.5,5.58
23.98,85.37,1.6
29.17,75.73,1.31
14.28,74.45,3.4
22.77,77.77,0.8
10.58,92.55,4.27
17.45,78.47,1.45
9.5,76.63,4.14
15.8,76.98,1.97
15.02,75.95,2.15
30.03,77.89,3.33
28.18,75.39,1.34
34.28,74.2,3.13
13.0,75.7,2.97
33.39,74.23,2.93
27.65,79.95,0.87
15.43,75.8,2.02
26.86,79.06,0.82
31.03,78.73,1.72
22.57,75.82,0.79
34.53,75.13,3.42
24.6,87.08,2.01
17.55,75.9,1.45
22.62,86.13,1.77
23.67,84.95,1.44
26.39,79.48,0.76
26.53,75.87,1.18
13.95,76.62,2.44
29.93,78.52,1.67
26.0,92.87,3.49
14.03,75.68,2.54
13.54,77.3,2.64
27.57,93.85,5.31
12.82,77.03,2.8
13.23,77.12,2.75
16.47,76.53,1.76
34.3,74.25,3.3
28.78,95.88,5.55
24.53,84.02,1.41
30.17,76.54,1.43
27.68,76.45,1.26
25.05,84.63,1.6
27.6,78.05,0.98
26.27,91.37,3.28
23.83,73.03,0.87
24.77,93.9,3.36
22.72,75.8,0.79
17.69,78.87,1.39
27.16,79.27,0.84
29.84,78.75,1.74
24.68,74.13,0.97
27.68,74.07,1.39
11.57,75.6,4.08
11.77,79.38,3.8
27.24,79.44,0.83
34.65,76.02,4.01
30.1,77.75,1.43
20.13,85.15,2.29
24.28,85.17,1.57
27.33,82.7,1.37
