Latitude,Longitude,PTrain_AP1
24.02,85.55,985.86
28.45,72.5,1003.67
25.33,88.32,1013.16
30.75,76.15,998.76
27.9,96.3,1001.25
28.02,96.23,970.14
25.75,75.38,995.62
18.25,77.1,978.48
25.74,79.16,1005.17
23.13,78.68,995.08
27.98,79.42,1005.44
26.17,85.0,1012.03
29.73,78.47,995.1
23.43,73.75,1006.91
20.03,75.03,984.64
33.13,75.98,893.58
29.86,78.64,945.64
26.92,71.37,999.91
30.66,76.83,997.02
24.6,92.83,1012.57
33.27,74.55,962.38
17.65,77.47,978.45
30.58,76.82,997.4
25.98,87.13,1013.02
24.42,85.98,997.76
28.93,76.17,1001.58
33.53,74.22,935.99
29.93,78.74,970.75
24.37,92.17,1012.78
26.7,77.9,1004.02
29.91,78.7,963.41
25.6,75.61,999.02
21.48,85.82,984.11
33.58,74.09,942.67
26.47,92.47,1011.27
19.3,75.67,988.58
22.98,71.47,1009.76
22.57,70.42,1011.69
23.57,76.78,989.25
32.74,74.81,995.39
24.15,78.23,992.76
28.39,75.63,997.87
28.35,75.64,997.83
16.22,73.83,1007.48
27.13,94.77,1009.23
26.17,93.57,974.44
17.94,78.68,982.7
20.17,84.85,1004.43
27.1,79.95,1007.27
26.35,89.9,1010.82
27.27,93.07,967.82
32.56,74.92,995.08
24.53,84.92,1008.52
12.17,76.6,973.76
15.68,74.97,975.99
34.27,74.47,931.77
34.45,74.41,924.11
34.39,73.79,944.66
21.07,83.2,1003.56
18.02,78.9,984.69
34.37,73.98,832.56
23.75,86.17,1003.94
16.05,73.92,1004.73
23.42,91.67,1010.3
29.08,74.68,1001.9
28.87,75.45,1001.28
25.32,86.02,1013.06
25.55,84.15,1011.7
23.98,86.02,1001.33
22.97,74.12,999.24
24.76,79.05,997.05
23.13,84.85,982.84
20.0,76.3,985.01
27.5,95.75,1006.66
16.73,76.92,988.77
21.7,74.03,964.87
26.28,79.29,1006.28
25.93,90.77,1011.43
27.79,79.31,1005.97
29.28,78.12,1001.95
25.97,85.12,1012.52
28.19,74.69,996.32
26.13,89.47,1012.84
10.03,76.3,1012.85
11.22,76.15,1010.11
13.07,80.26,1013.04
17.58,78.54,979.61
13.25,80.33,1013.15
13.13,80.25,1013.11
8.18,77.63,1012.71
26.75,82.08,1008.92
25.93,80.83,1007.78
30.92,74.67,1000.7
26.3,87.27,1011.78
22.37,88.78,1013.23
16.28,78.68,979.48
30.72,76.77,996.05
26.35,79.23,1005.97
25.77,75.63,997.03
24.18,92.02,1012.62
11.18,75.85,1011.97
17.84,78.12,984.77
15.42,75.63,976.22
27.33,88.62,912.98
16.53,80.8,1012.57
24.75,84.95,1009.18
25.4,83.55,1011.29
22.77,83.97,983.56
27.13,81.97,1008.41
21.47,80.2,996.28
19.27,84.88,1013.18
26.75,83.37,1010.48
17.35,76.85,985.49
34.05,74.4,870.61
24.65,77.32,988.05
28.42,77.0,1000.84
26.1,91.58,1011.6
26.23,78.25,1002.54
15.42,75.62,975.72
27.23,79.28,1005.6
33.89,74.29,904.5
24.05,76.45,992.85
25.58,76.3,1001.64
15.73,75.98,976.4
16.27,76.83,986.22
23.52,74.0,1006.09
20.1,84.57,1009.15
9.92,77.53,994.2
34.16,74.57,931.48
30.65,78.85,876.81
27.85,78.47,1004.12
14.55,78.73,1005.18
29.9,78.68,941.81
26.01,79.38,1005.72
32.79,74.77,995.36
29.97,78.53,958.66
26.7,94.12,1008.26
17.61,78.47,980.2
27.72,79.65,1005.79
22.77,87.8,1013.87
23.28,84.55,981.38
20.88,73.72,997.68
28.3,75.71,997.61
22.9,88.16,1013.49
20.13,78.32,996.62
29.85,77.05,999.66
25.22,87.17,1013.52
23.95,87.1,1007.77
22.7,70.65,1010.79
27.22,73.47,995.73
30.72,75.98,998.82
32.98,74.41,990.25
28.36,74.9,997.57
27.7,79.57,1006.05
20.67,79.13,998.27
22.25,88.5,1013.36
33.26,74.14,958.19
27.32,84.32,1007.65
23.27,87.97,1013.24
31.52,76.02,994.6
27.98,72.25,1003.0
24.9,72.83,997.96
20.72,70.99,1012.87
34.08,74.57,929.84
14.97,78.25,999.78
34.1,74.58,931.57
21.92,85.37,981.99
22.02,69.92,1005.35
22.26,88.97,1013.17
22.86,88.04,1013.37
16.75,77.3,987.69
25.73,75.54,996.47
19.92,77.05,985.62
25.93,85.33,1012.75
18.17,73.3,1011.5
21.33,69.9,1011.71
16.72,75.43,977.71
17.21,78.9,994.45
14.83,76.63,978.12
25.96,75.59,997.85
12.84,80.06,1011.69
25.6,85.2,1012.61
18.98,84.02,992.83
20.37,83.37,1005.69
17.63,80.93,1011.26
22.55,72.22,1013.21
20.28,84.7,1002.6
14.98,74.92,985.09
15.17,77.38,987.16
16.28,76.62,985.25
24.67,84.77,1009.2
30.64,76.81,997.27
30.1,79.97,879.86
28.07,94.57,966.89
24.67,75.6,989.25
18.02,79.57,998.19
27.38,80.17,1005.97
17.82,73.1,1011.88
13.0,76.15,959.81
28.08,96.5,937.14
23.98,85.37,982.13
29.17,75.73,1000.59
14.28,74.45,1011.49
22.77,77.77,996.88
10.58,92.55,1011.95
17.45,78.47,982.27
9.5,76.63,1009.64
15.8,76.98,992.48
15.02,75.95,982.82
30.03,77.89,997.95
28.18,75.39,996.51
34.28,74.2,899.19
13.0,75.7,960.61
33.39,74.23,941.84
27.65,79.95,1005.94
15.43,75.8,977.24
26.86,79.06,1006.68
31.03,78.73,846.77
22.57,75.82,981.85
34.53,75.13,859.92
24.6,87.08,1006.11
17.55,75.9,987.71
22.62,86.13,1004.32
23.67,84.95,989.55
26.39,79.48,1007.63
26.53,75.87,996.19
13.95,76.62,977.09
29.93,78.52,958.26
26.0,92.87,1011.24
14.03,75.68,981.67
13.54,77.3,970.99
27.57,93.85,927.07
12.82,77.03,971.77
13.23,77.12,965.76
16.47,76.53,987.03
34.3,74.25,916.61
28.78,95.88,946.49
24.53,84.02,1007.59
30.17,76.54,999.75
27.68,76.45,993.01
25.05,84.63,1011.58
27.6,78.05,1003.59
26.27,91.37,1012.89
23.83,73.03,1002.04
24.77,93.9,971.72
22.72,75.8,982.83
17.69,78.87,986.18
27.16,79.27,1005.51
29.84,78.75,917.5
24.68,74.13,989.0
27.68,74.07,996.2
11.57,75.6,1012.91
11.77,79.38,1010.3
27.24,79.44,1005.81
34.65,76.02,832.39
30.1,77.75,997.54
20.13,85.15,1010.51
24.28,85.17,993.93
27.33,82.7,1009.08
23.2,79.95,992.2
19.08,82.03,983.51
26.82,75.8,992.44
26.9,70.92,998.71
21.05,75.57,1002.01
25.35,72.62,1003.51
26.53,88.72,1010.59
32.67,74.83,991.69
22.82,86.18,1008.3
22.82,86.18,1007.62
22.88,84.13,972.04
25.08,73.08,997.41
18.2,75.2,983.52
24.53,76.17,996.42
25.45,78.58,1000.29
21.92,84.08,1002.76
26.3,73.02,1000.59
30.55,79.57,909.1
33.19,74.15,972.28
14.53,76.35,975.1
22.23,85.65,989.88
25.48,84.42,1011.72
25.05,84.08,1010.86
26.2,73.94,996.54
28.88,74.07,1001.08
26.72,89.88,1000.96
21.73,75.15,994.18
22.47,70.07,1011.9
26.1,92.73,1012.14
26.38,79.19,1006.11
24.92,86.22,1011.19
17.61,78.88,986.54
25.55,82.32,1010.03
23.63,75.13,989.3
